source_id,target_id
0,75
1,75
2,75
3,75
4,76
5,76
6,75
7,76
8,76
9,76
10,76
11,74
12,76
13,76
14,76
15,76
16,76
17,76
18,76
19,76
20,76
21,76
22,76
23,76
24,76
25,76
26,76
27,76
28,74
29,76
30,76
31,76
32,76
33,76
34,39
34,76
35,76
36,76
37,49
38,72
40,44
41,76
42,76
43,76
44,76
45,76
46,76
47,76
48,76
49,76
50,76
51,74
52,76
53,76
54,76
55,76
56,76
57,74
58,74
59,76
60,74
61,76
62,76
63,76
64,76
65,76
66,74
66,76
68,76
69,76
70,75
71,75
72,76
73,76
74,75
74,76
74,77
74,78
74,79
74,80
75,76
75,81
