source_id,target_id,throughput
ALBA,BOST,42979567.15
ALBA,CLEV,4664055448.01778
ALBA,HART2,2127683001.62445
ALBA,HOLY,212146617.33
ASHB,ATLA,4645772337.67444
ASHB,CLEV,52555865065.1911
ASHB,NEWY32AOA,28251039279.6278
ASHB,PHIL,7950966996.76334
ASHB,PITT,2124342005.43333
ASHB,RALE,15851607095.72
ASHB,WASH,22627944773.171062
ATLA,ASHB,15211165126.27
ATLA,CHAR,1804727397.64556
ATLA,JACK,4312844580.87
ATLA,NASH,8538729801.26223
BOIS,SALT,6103014993.56333
BOIS,SEAT,88948318.3711111
BOST,ALBA,172278385.375556
BOST,BOST2,1720074242.94778
BOST2,BOST,1637243127.14778
BOST2,HART2,5071546232.30889
BOST2,HOLY,57048.8755555556
CHAR,ATLA,1059462627.72333
CHAR,RALE,26671659719.3322
CHIC,CINC,11873060239.9844
CHIC,EQCH,55384279865.6767
CHIC,INDI,3455268892.74111
CHIC,KANS,77840789290.98221
CHIC,STAR,5062206711.30333
CINC,CHIC,7381540920.59444
CINC,CLEV,6401094268.43333
CINC,INDI,2666096851.23333
CINC,LOUI,218554.258888889
CINC,NASH,12233733747.5156
CLEV,ALBA,5588548280.37778
CLEV,ASHB,45329508383.020096
CLEV,CINC,10235427689.7867
CLEV,EQCH,58506533396.75
CLEV,NEWY32AOA,57019.4644444445
CLEV,PITT,1344463924.01111
CLEV,TOLE2,1525669675.99555
DALL,DALL3,10791230742.991104
DALL,HOUS,14467432909.76111
DALL,KANS,22568808672.3556
DALL,TULS,724802389.502222
DALL3,DALL,15302808277.545551
DENV,ELPA,714200460.3166671
DENV,KANS,54528540043.90219
DENV,SALT,70239766976.7922
ELPA,DENV,380913533.1199994
ELPA,HOUS,4990575482.08778
ELPA,LOSA,10454998545.4222
ELPA,TUCS,1325654750.33555
EQCH,CHIC,68555457155.4389
EQCH,CLEV,51952541570.0878
EQCH,MINN,1228504405.028891
EQCH,STAR,18229963536.384457
EQCH,TOLE2,556768395.428889
FARG,MINN,145015320.006667
FARG,SEAT,3282586396.52555
HART2,ALBA,729948973.19
HART2,BOST2,3377339861.28444
HART2,NEWY32AOA,11514573630.2144
HOLY,ALBA,802392756.905555
HOLY,BOST2,56935.4055555556
HOUH,HOUS,20437929182.0089
HOUH,PENS,1128838074.85111
HOUS,DALL,16902417172.47338
HOUS,ELPA,11081205456.43333
HOUS,HOUH,8548449430.40111
HOUS,JCSN,2431469590.4
HOUS,NASH,6969972595.66333
INDI,CHIC,645130770.668889
INDI,CINC,708695875.438889
JACK,ATLA,5263311970.72445
JACK,PENS,3108348393.75778
JCSN,HOUS,155789467.483333
JCSN,NASH,841941426.37
KANS,CHIC,57480692267.071106
KANS,DALL,17443699283.3022
KANS,DENV,69725813908.7412
KANS,MINN,43613933.6977778
KANS,TULS,8868770426.99221
LASV,LOSA,324503988.268889
LASV,SALT,2356702896.57
LOSA,ELPA,3711457178.23444
LOSA,LASV,2450993112.35667
LOSA,LOSA2,29396939449.60552
LOSA,PHOE,1792960481.28333
LOSA,SALT,22649469426.2178
LOSA,SUNN,8065561829.44112
LOSA2,LOSA,6360298691.395559
LOUI,CINC,457373.594444445
LOUI,NASH,160807612.393333
MINN,EQCH,1246170175.613331
MINN,FARG,3282711225.11111
MINN,KANS,57353427.5844445
MINN,MISS,128334837.593333
MISS,MINN,10740691.3722222
MISS,SEAT,1083405983.12778
NASH,ATLA,3735163954.94556
NASH,CINC,7755794708.70555
NASH,HOUS,7414341440.66
NASH,JCSN,531750580.833333
NASH,LOUI,108882069.175556
NEWY32AOA,ASHB,40235035489.6711
NEWY32AOA,CLEV,56412.5277777778
NEWY32AOA,HART2,4393296420.22667
NEWY32AOA,PHIL,2674830720.44222
PENS,HOUH,3114678486.66556
PENS,JACK,1007777042.37556
PHIL,ASHB,12210099690.2433
PHIL,NEWY32AOA,87331866.7055556
PHOE,LOSA,841862266.473333
PHOE,TUCS,129240050.631111
PITT,ASHB,6373232560.35445
PITT,CLEV,2320819151.41445
PORT,SACR,89787897.1144444
PORT,SEAT,592189599.642222
RALE,ASHB,32110267653.3433
RALE,CHAR,5480944261.99889
SACR,PORT,77028919.1388889
SACR,SALT,7096627170.73
SACR,SEAT,3584190675.45444
SACR,SUNN,17054664028.11661
SALT,BOIS,583916710.831111
SALT,DENV,41197074260.11
SALT,LASV,2571042468.29333
SALT,LOSA,40970017746.4578
SALT,SACR,9557763416.51778
SALT,SEAT,26419635045.2733
SANJ,SUNN,5662665134.125557
SEAT,BOIS,69151.7322222222
SEAT,FARG,147479439.333333
SEAT,MISS,900375367.703335
SEAT,PORT,882155507.677777
SEAT,SACR,3867159590.38778
SEAT,SALT,6562781459.97667
STAR,CHIC,17964958660.9356
STAR,EQCH,29839598549.832283
SUNN,LOSA,8530518581.64333
SUNN,SACR,10648840419.02444
SUNN,SANJ,8465720170.234449
TOLE2,CLEV,432631692.03
TOLE2,EQCH,7230171129.27667
TUCS,ELPA,1660253729.23334
TUCS,PHOE,676960751.785555
TULS,DALL,696716907.516667
TULS,KANS,5286414842.81
WASH,ASHB,34426156679.41221
