source_id,target_id,throughput
ALBA,BOST,150026051.171111
ALBA,CLEV,14141685276.8045
ALBA,HART2,1870327529.83444
ALBA,HOLY,557444591.167778
ASHB,ATLA,9514856156.65778
ASHB,CLEV,109604662978.3355
ASHB,NEWY32AOA,45089435880.23
ASHB,PHIL,30228196705.0778
ASHB,PITT,5490221396.73222
ASHB,RALE,50169352495.5467
ASHB,WASH,59038438472.205505
ATLA,ASHB,50056215661.0867
ATLA,CHAR,3630923970.33444
ATLA,JACK,20056684850.77
ATLA,NASH,11036095674.792221
BOIS,SALT,831331298.223333
BOIS,SEAT,173485628.547778
BOST,ALBA,274787920.653333
BOST,BOST2,3428697159.94556
BOST2,BOST,9801861618.59332
BOST2,HART2,18071292745.6089
BOST2,HOLY,57061.4166666666
CHAR,ATLA,1630236894.76222
CHAR,RALE,27363009843.5433
CHIC,CINC,32748729770.8244
CHIC,EQCH,77508445476.7122
CHIC,INDI,11477664281.1422
CHIC,KANS,96712946785.1633
CHIC,STAR,9994849496.74334
CINC,CHIC,13684079659.2522
CINC,CLEV,6351325739.91667
CINC,INDI,6812564478.20112
CINC,LOUI,430676852.385556
CINC,NASH,42693709036.9156
CLEV,ALBA,5483785036.47
CLEV,ASHB,57396969953.25
CLEV,CINC,43830952580.62
CLEV,EQCH,90983992488.19339
CLEV,NEWY32AOA,57036.4311111111
CLEV,PITT,6417219870.36111
CLEV,TOLE2,1423877989.87222
DALL,DALL3,24327862673.23226
DALL,HOUS,26484344115.6456
DALL,KANS,50458818942.9122
DALL,TULS,10535483453.8633
DALL3,DALL,64647828204.28784
DENV,ELPA,855674205.8166671
DENV,KANS,59973792676.1278
DENV,SALT,75371274833.0022
ELPA,DENV,614907828.893333
ELPA,HOUS,13950411991.25893
ELPA,LOSA,6454735474.19001
ELPA,TUCS,1043085426.37889
EQCH,CHIC,117061353831.7622
EQCH,CLEV,74776270179.2067
EQCH,MINN,5051282757.327779
EQCH,STAR,53998990989.758865
EQCH,TOLE2,3316826142.25222
FARG,MINN,677770804.921111
FARG,SEAT,3240409408.03889
HART2,ALBA,2458439403.53778
HART2,BOST2,17510389401.0222
HART2,NEWY32AOA,33027465849.3989
HOLY,ALBA,7243067171.37333
HOLY,BOST2,56953.7644444445
HOUH,HOUS,17021369030.5
HOUH,PENS,2669272945.00445
HOUS,DALL,20606032547.49227
HOUS,ELPA,6658550075.04445
HOUS,HOUH,16324621862.1289
HOUS,JCSN,3050725348.17556
HOUS,NASH,8976545004.74
INDI,CHIC,2004233806.26556
INDI,CINC,611308184.702222
JACK,ATLA,20168647324.7344
JACK,PENS,3850442855.79111
JCSN,HOUS,130363225.398889
JCSN,NASH,521853.407777778
KANS,CHIC,81208310484.1155
KANS,DALL,26861211390.0667
KANS,DENV,78382069775.4844
KANS,MINN,260202256.928889
KANS,TULS,14171889026.8211
LASV,LOSA,1365085360.53333
LASV,SALT,156225994.78
LOSA,ELPA,12867696721.9145
LOSA,LASV,11139763863.5211
LOSA,LOSA2,29436153785.91546
LOSA,PHOE,6833777375.81444
LOSA,SALT,19611000504.8644
LOSA,SUNN,4697852034.58334
LOSA2,LOSA,26333122493.91555
LOUI,CINC,210616159.156667
LOUI,NASH,105608522.136667
MINN,EQCH,5366640267.322224
MINN,FARG,3240437192.22
MINN,KANS,81517613.6488889
MINN,MISS,311402559.162222
MISS,MINN,18673901.75
MISS,SEAT,625653742.893333
NASH,ATLA,18530775013.47226
NASH,CINC,11334359948.7078
NASH,HOUS,6073173237.17222
NASH,JCSN,225894.508888889
NASH,LOUI,347704374.205555
NEWY32AOA,ASHB,80180945733.8078
NEWY32AOA,CLEV,56429.9911111111
NEWY32AOA,HART2,19600679842.2567
NEWY32AOA,PHIL,10162307737.6389
PENS,HOUH,3852532354.75778
PENS,JACK,2616449746.29556
PHIL,ASHB,21135141228.9267
PHIL,NEWY32AOA,850079252.591111
PHOE,LOSA,1177093759.50889
PHOE,TUCS,264048674.387778
PITT,ASHB,10716737808.8011
PITT,CLEV,2247483594.85778
PORT,SACR,168076898.03
PORT,SEAT,1253132004.39778
RALE,ASHB,35888640343.8344
RALE,CHAR,13337265455.2356
SACR,PORT,328775018.72
SACR,SALT,15778286204.2644
SACR,SEAT,6154549128.15222
SACR,SUNN,14987922945.142208
SALT,BOIS,1559549544.84889
SALT,DENV,42374040224.537704
SALT,LASV,3252417364.66222
SALT,LOSA,39038525127.4045
SALT,SACR,8914330013.62888
SALT,SEAT,35350301836.1767
SANJ,SUNN,26325644914.359993
SEAT,BOIS,70548.7066666667
SEAT,FARG,683782030.235556
SEAT,MISS,1017637738.03889
SEAT,PORT,2115410743.74556
SEAT,SACR,2812967810.98333
SEAT,SALT,19949833386.4422
STAR,CHIC,14036638966.3133
STAR,EQCH,29381860941.8333
SUNN,LOSA,13893919359.28111
SUNN,SACR,23864201965.20779
SUNN,SANJ,9325230732.331114
TOLE2,CLEV,2383187940.20444
TOLE2,EQCH,4798751830.77778
TUCS,ELPA,1721232894.39667
TUCS,PHOE,490018180.046667
TULS,DALL,2398511281.99778
TULS,KANS,8327581197.31555
WASH,ASHB,52753810904.82997
