source_id,target_id,throughput
ALBA,BOST,317375193.255555
ALBA,CLEV,7763465322.82889
ALBA,HART2,3517623748.83444
ALBA,HOLY,1563123258.89111
ASHB,ATLA,11481786293.4822
ASHB,CLEV,117226990652.1922
ASHB,NEWY32AOA,47131246323.3722
ASHB,PHIL,29095849376.7578
ASHB,PITT,13764031080.1467
ASHB,RALE,55367538901.8833
ASHB,WASH,46930640993.76551
ATLA,ASHB,28189380580.4389
ATLA,CHAR,4159584759.54445
ATLA,JACK,8901400991.75889
ATLA,NASH,9073955038.18556
BOIS,SALT,5132613417.76889
BOIS,SEAT,341433113.538889
BOST,ALBA,245450075.164444
BOST,BOST2,3782010404.46222
BOST2,BOST,8011113328.23
BOST2,HART2,16414124128.9156
BOST2,HOLY,57036.9988888889
CHAR,ATLA,1542559319.08222
CHAR,RALE,39375512289.2367
CHIC,CINC,45316359855.0322
CHIC,EQCH,117953181298.1233
CHIC,INDI,21108445835.6689
CHIC,KANS,132844863267.25659
CHIC,STAR,11089487841.9289
CINC,CHIC,19016034630.5911
CINC,CLEV,17653409218.81
CINC,INDI,5366212410.03222
CINC,LOUI,224201.853333333
CINC,NASH,50029602880.0555
CLEV,ALBA,11329950366.95
CLEV,ASHB,71023687621.5555
CLEV,CINC,44677913295.1711
CLEV,EQCH,94864631996.19229
CLEV,NEWY32AOA,57036.1522222222
CLEV,PITT,13779957209.5922
CLEV,TOLE2,862426707.794444
DALL,DALL3,26418882310.68556
DALL,HOUS,37565782572.0478
DALL,KANS,71806960354.3778
DALL,TULS,3328773524.91111
DALL3,DALL,73603957824.67674
DENV,ELPA,1547487289.7244399
DENV,KANS,79987039409.6411
DENV,SALT,97184401151.49329
ELPA,DENV,121630024.6822222
ELPA,HOUS,9203128288.23223
ELPA,LOSA,10816533741.1033
ELPA,TUCS,3346138210.62222
EQCH,CHIC,157333289335.0669
EQCH,CLEV,105423715661.0934
EQCH,MINN,6439090363.18111
EQCH,STAR,60094590704.36666
EQCH,TOLE2,3687179862.04222
FARG,MINN,567036081.804445
FARG,SEAT,2286502336.53333
HART2,ALBA,2748360285.18444
HART2,BOST2,18356758255.2866
HART2,NEWY32AOA,26870396352.7644
HOLY,ALBA,1298737076.75667
HOLY,BOST2,56935.3477777778
HOUH,HOUS,51355441291.72
HOUH,PENS,2552109106.68445
HOUS,DALL,39598226203.03226
HOUS,ELPA,12696722343.32777
HOUS,HOUH,14040444046.6344
HOUS,JCSN,3625452716.70333
HOUS,NASH,24023157241.0011
INDI,CHIC,2073011116.22778
INDI,CINC,1462389116.34667
JACK,ATLA,10119781524.4711
JACK,PENS,3934237488.39667
JCSN,HOUS,186021068.688889
JCSN,NASH,808426540.786666
KANS,CHIC,129634207280.3979
KANS,DALL,29756044116.1056
KANS,DENV,101671898975.5922
KANS,MINN,370164081.63
KANS,TULS,26227071844.3455
LASV,LOSA,1832150489.51222
LASV,SALT,1886745120.35111
LOSA,ELPA,8763272772.77777
LOSA,LASV,21228414079.6
LOSA,LOSA2,36202431893.36774
LOSA,PHOE,9691533872.59888
LOSA,SALT,33011980201.5211
LOSA,SUNN,8694168278.79222
LOSA2,LOSA,40745061828.638885
LOUI,CINC,485709.866666667
LOUI,NASH,104212822.834444
MINN,EQCH,6908252206.23445
MINN,FARG,2286561830.68111
MINN,KANS,110881248.99
MINN,MISS,448005274.341111
MISS,MINN,20890449.0388889
MISS,SEAT,598062869.126667
NASH,ATLA,6923257923.49555
NASH,CINC,22201945810.3655
NASH,HOUS,6419990787.83222
NASH,JCSN,2158603525.52222
NASH,LOUI,1983918532.01778
NEWY32AOA,ASHB,76208428032.56
NEWY32AOA,CLEV,56446.2888888889
NEWY32AOA,HART2,20839278700.16
NEWY32AOA,PHIL,11471721166.0567
PENS,HOUH,3944563829.00444
PENS,JACK,2361622314.66667
PHIL,ASHB,17601828266.8233
PHIL,NEWY32AOA,575111576.305555
PHOE,LOSA,1139773321.55444
PHOE,TUCS,146584654.294444
PITT,ASHB,14698217070.7378
PITT,CLEV,3156348107.06
PORT,SACR,255332568.875556
PORT,SEAT,1148105303.11778
RALE,ASHB,48928516532.8256
RALE,CHAR,15707723334.33
SACR,PORT,459189142.672222
SACR,SALT,17823694428.7322
SACR,SEAT,8865779655.5789
SACR,SUNN,24953569770.55
SALT,BOIS,793355722.973334
SALT,DENV,62189701888.752205
SALT,LASV,7522709362.33111
SALT,LOSA,53931702772.5089
SALT,SACR,15197206706.9955
SALT,SEAT,34077189335.8422
SANJ,SUNN,40421991248.13002
SEAT,BOIS,69298.7577777778
SEAT,FARG,571741965.712223
SEAT,MISS,1352511650.40333
SEAT,PORT,2591080997.55667
SEAT,SACR,4348580747.0
SEAT,SALT,26913835505.43
STAR,CHIC,25372607399.7111
STAR,EQCH,39068888303.31003
SUNN,LOSA,23365316684.24893
SUNN,SACR,33343976281.7545
SUNN,SANJ,13771266247.96222
TOLE2,CLEV,751004600.911111
TOLE2,EQCH,4041899848.16556
TUCS,ELPA,582929408.220078
TUCS,PHOE,1744074476.45277
TULS,DALL,2936763662.52798
TULS,KANS,8257048205.36029
WASH,ASHB,58748886577.7333
