source_id,target_id,throughput
ALBA,BOST,74736624.0518128
ALBA,CLEV,10565167248.8406
ALBA,HART2,1514058079.58562
ALBA,HOLY,367804718.516008
ASHB,ATLA,4902402105.7164
ASHB,CLEV,61308219528.640396
ASHB,NEWY32AOA,38797376820.5978
ASHB,PHIL,15048489971.2474
ASHB,PITT,2971102236.06111
ASHB,RALE,15615256929.3722
ASHB,WASH,24982374445.05896
ATLA,ASHB,17134038470.41
ATLA,CHAR,1803308771.53057
ATLA,JACK,7327687559.88616
ATLA,NASH,4554800428.10122
BOIS,SALT,1352913708.80683
BOIS,SEAT,218107045.778987
BOST,ALBA,335609956.27569
BOST,BOST2,4068762924.92303
BOST2,BOST,3842260528.89305
BOST2,HART2,17908196697.2513
BOST2,HOLY,57194.2138593565
CHAR,ATLA,1781381873.50667
CHAR,RALE,18379272587.9634
CHIC,CINC,22563156845.7093
CHIC,EQCH,54183871535.8263
CHIC,INDI,6039636269.13775
CHIC,KANS,89905307028.0682
CHIC,STAR,11098293358.9704
CINC,CHIC,10576872505.4969
CINC,CLEV,16165119295.3605
CINC,INDI,4795052094.52286
CINC,LOUI,218138.086925315
CINC,NASH,14768472029.2994
CLEV,ALBA,20305997956.7164
CLEV,ASHB,48416558415.7664
CLEV,CINC,14603645078.5733
CLEV,EQCH,74454142709.1011
CLEV,NEWY32AOA,57051.8922222222
CLEV,PITT,2016237768.71
CLEV,TOLE2,1195070175.16245
DALL,DALL3,14952608654.625431
DALL,HOUS,23239196588.08082
DALL,KANS,30019046116.7895
DALL,TULS,3355437276.65222
DALL3,DALL,39016776874.13192
DENV,ELPA,3253785647.903032
DENV,KANS,64637947633.9789
DENV,SALT,66488989760.2977
ELPA,DENV,207675567.1605961
ELPA,HOUS,6433840658.53356
ELPA,LOSA,6217986534.03401
ELPA,TUCS,3891778862.61334
EQCH,CHIC,93892693174.9354
EQCH,CLEV,74628734475.0426
EQCH,MINN,2753143449.564997
EQCH,STAR,25095631547.83654
EQCH,TOLE2,3447692428.40667
FARG,MINN,0.0
FARG,SEAT,0.0
HART2,ALBA,1511471560.19444
HART2,BOST2,19612505057.6556
HART2,NEWY32AOA,28099398021.0411
HOLY,ALBA,598138000.06
HOLY,BOST2,56963.0933333334
HOUH,HOUS,19897852091.6956
HOUH,PENS,2192524778.96222
HOUS,DALL,7881121892.48889
HOUS,ELPA,6873622810.25333
HOUS,HOUH,14304351225.9289
HOUS,JCSN,2032904916.90333
HOUS,NASH,18959367448.1733
INDI,CHIC,1717590985.34667
INDI,CINC,85801968.8444443
JACK,ATLA,4223009433.13222
JACK,PENS,3734656451.42555
JCSN,HOUS,97234435.2079756
JCSN,NASH,461197.495945876
KANS,CHIC,61784448998.5744
KANS,DALL,23559356085.0343
KANS,DENV,72096578169.9832
KANS,MINN,254390602.226952
KANS,TULS,10478391187.2328
LASV,LOSA,1344724381.22148
LASV,SALT,237257820.612907
LOSA,ELPA,4571201908.03766
LOSA,LASV,8677146914.49652
LOSA,LOSA2,20439349607.91555
LOSA,PHOE,8598457098.44634
LOSA,SALT,19826314933.6859
LOSA,SUNN,5997496702.2731
LOSA2,LOSA,23175929490.58112
LOUI,CINC,498427.399193826
LOUI,NASH,96441330.2219256
MINN,EQCH,1729825433.7222261
MINN,FARG,653180905.311111
MINN,KANS,401515138.918889
MINN,MISS,231859378.781111
MISS,MINN,101913459.578889
MISS,SEAT,505509051.896667
NASH,ATLA,5130307818.58556
NASH,CINC,20797190633.4944
NASH,HOUS,4075088481.88
NASH,JCSN,165638.522222222
NASH,LOUI,108428104.096667
NEWY32AOA,ASHB,41644493715.6671
NEWY32AOA,CLEV,56419.6166666667
NEWY32AOA,HART2,20221978317.5933
NEWY32AOA,PHIL,4737401810.66333
PENS,HOUH,3517079328.38973
PENS,JACK,2096044980.74627
PHIL,ASHB,15104462867.5589
PHIL,NEWY32AOA,743120794.347778
PHOE,LOSA,1662048639.1731
PHOE,TUCS,197275092.570821
PITT,ASHB,10585549898.4278
PITT,CLEV,2134225109.39713
PORT,SACR,356053405.664445
PORT,SEAT,967750275.222221
RALE,ASHB,25587718999.7172
RALE,CHAR,3037774881.25429
SACR,PORT,631810366.642222
SACR,SALT,9768673710.22333
SACR,SEAT,7569730094.70444
SACR,SUNN,17585665816.511078
SALT,BOIS,2115870378.86333
SALT,DENV,37637675066.5122
SALT,LASV,2492153859.51556
SALT,LOSA,29974566905.3867
SALT,SACR,8460981710.00556
SALT,SEAT,26192055768.1734
SANJ,SUNN,22208773689.65483
SEAT,BOIS,66639.06
SEAT,FARG,0.0
SEAT,MISS,999907830.231111
SEAT,PORT,3760737793.44444
SEAT,SACR,3936710421.82111
SEAT,SALT,12744537789.0189
STAR,CHIC,19846882081.5633
STAR,EQCH,44918535240.7156
SUNN,LOSA,17791969084.11333
SUNN,SACR,19768484195.35003
SUNN,SANJ,13828574956.91
TOLE2,CLEV,2786488321.79333
TOLE2,EQCH,3678114096.12556
TUCS,ELPA,2035230181.64111
TUCS,PHOE,1086202827.14556
TULS,DALL,1827472841.13111
TULS,KANS,5820819625.46889
WASH,ASHB,59171556261.65444
