source_id,target_id,throughput
ALBA,BOST,71530573.9333334
ALBA,CLEV,19373416102.7811
ALBA,HART2,2146380070.52222
ALBA,HOLY,523358792.104445
ASHB,ATLA,5217196490.76636
ASHB,CLEV,66977089660.8611
ASHB,NEWY32AOA,27817264667.1022
ASHB,PHIL,23049738168.8979
ASHB,PITT,2263483211.68667
ASHB,RALE,13740233072.2678
ASHB,WASH,26804123173.5644
ATLA,ASHB,18894931580.7693
ATLA,CHAR,1573811378.12984
ATLA,JACK,9613497597.57814
ATLA,NASH,5068508863.63741
BOIS,SALT,1887566464.39108
BOIS,SEAT,406717888.93672
BOST,ALBA,180282620.575776
BOST,BOST2,2624364608.95553
BOST2,BOST,3989806030.02022
BOST2,HART2,26801654533.1271
BOST2,HOLY,56862.3855868786
CHAR,ATLA,1999945658.60111
CHAR,RALE,24731501004.2467
CHIC,CINC,12625798776.75
CHIC,EQCH,56677859524.5473
CHIC,INDI,5974601304.50316
CHIC,KANS,103136183935.5316
CHIC,STAR,11442066243.946
CINC,CHIC,7542247871.76222
CINC,CLEV,3132986341.40889
CINC,INDI,4807687041.20111
CINC,LOUI,313660.382222222
CINC,NASH,16390223519.3478
CLEV,ALBA,30398435213.8111
CLEV,ASHB,40565911616.5355
CLEV,CINC,16751509518.6844
CLEV,EQCH,85461378011.81891
CLEV,NEWY32AOA,57025.1055555556
CLEV,PITT,2682471846.09555
CLEV,TOLE2,1685490618.97556
DALL,DALL3,16286773254.306412
DALL,HOUS,21940960142.850098
DALL,KANS,26807475076.1404
DALL,TULS,4184749720.17116
DALL3,DALL,39822122898.40997
DENV,ELPA,3753566710.798772
DENV,KANS,64596389875.0607
DENV,SALT,84656730412.1391
ELPA,DENV,187582393.8173075
ELPA,HOUS,6153533364.57549
ELPA,LOSA,6574839968.83904
ELPA,TUCS,6085604030.59889
EQCH,CHIC,92668207101.59811
EQCH,CLEV,75932943337.54129
EQCH,MINN,3649448231.169057
EQCH,STAR,29460958677.34925
EQCH,TOLE2,2929493613.47
FARG,MINN,0.0
FARG,SEAT,0.0
HART2,ALBA,1319450294.76555
HART2,BOST2,14878632942.3867
HART2,NEWY32AOA,39055467777.1844
HOLY,ALBA,934268883.646667
HOLY,BOST2,56941.5133333334
HOUH,HOUS,7149314805.53334
HOUH,PENS,2028314838.26667
HOUS,DALL,7923009780.522221
HOUS,ELPA,9294785937.63
HOUS,HOUH,11201820591.32
HOUS,JCSN,1600259812.47667
HOUS,NASH,5448764029.52
INDI,CHIC,940937027.048889
INDI,CINC,169984368.6
JACK,ATLA,5054658585.86111
JACK,PENS,3744149364.07333
JCSN,HOUS,87792243.6057974
JCSN,NASH,476756.67698979
KANS,CHIC,66239737904.8377
KANS,DALL,22758573820.7635
KANS,DENV,87654898093.99509
KANS,MINN,391111007.882912
KANS,TULS,10409886863.9106
LASV,LOSA,2685813807.47444
LASV,SALT,291745992.327778
LOSA,ELPA,4771441202.99556
LOSA,LASV,10321025604.2922
LOSA,LOSA2,25212601904.18109
LOSA,PHOE,11826273289.7491
LOSA,SALT,20632770577.5905
LOSA,SUNN,8896993576.34581
LOSA2,LOSA,28087331603.129112
LOUI,CINC,472738.887777778
LOUI,NASH,95484082.7488889
MINN,EQCH,2505046469.885552
MINN,FARG,514058918.183333
MINN,KANS,539331440.091111
MINN,MISS,355814387.294444
MISS,MINN,29674318.5552783
MISS,SEAT,930415575.435271
NASH,ATLA,7335398455.79249
NASH,CINC,6176632357.75555
NASH,HOUS,4278132119.10916
NASH,JCSN,169583.833333333
NASH,LOUI,560562542.985986
NEWY32AOA,ASHB,41373594229.4114
NEWY32AOA,CLEV,56480.7786399898
NEWY32AOA,HART2,15248005403.5094
NEWY32AOA,PHIL,5368300648.19604
PENS,HOUH,3690663012.49391
PENS,JACK,1924093471.2671
PHIL,ASHB,17222468648.9289
PHIL,NEWY32AOA,588332368.541111
PHOE,LOSA,1045835729.54734
PHOE,TUCS,230413720.58699
PITT,ASHB,7586475307.72555
PITT,CLEV,1652726451.13778
PORT,SACR,442316469.331111
PORT,SEAT,1285254000.53222
RALE,ASHB,30605981821.5485
RALE,CHAR,3278239657.76119
SACR,PORT,742946284.675983
SACR,SALT,11036220796.9299
SACR,SEAT,11238776705.6233
SACR,SUNN,18717243064.871628
SALT,BOIS,1586421816.86
SALT,DENV,41026226877.643295
SALT,LASV,8409554058.9011
SALT,LOSA,40148278946.3789
SALT,SACR,10115039801.64
SALT,SEAT,27972174559.7656
SANJ,SUNN,24735343192.16953
SEAT,BOIS,68753.7611111111
SEAT,FARG,0.0
SEAT,MISS,1317544373.23556
SEAT,PORT,3983312667.94111
SEAT,SACR,3647848793.13111
SEAT,SALT,14427663387.0944
STAR,CHIC,16955800688.1444
STAR,EQCH,45737699563.5889
SUNN,LOSA,16137724550.31886
SUNN,SACR,25451930741.9212
SUNN,SANJ,14075107817.361105
TOLE2,CLEV,1892694781.25111
TOLE2,EQCH,2299642917.33333
TUCS,ELPA,1587205456.44111
TUCS,PHOE,1830017090.58444
TULS,DALL,1647024158.63667
TULS,KANS,5649741475.78666
WASH,ASHB,60228144445.59752
