source_id,target_id,throughput
ALBA,BOST,103493078.898889
ALBA,CLEV,4314160988.09111
ALBA,HART2,2669159575.87556
ALBA,HOLY,618780234.813334
ASHB,ATLA,12091556950.3389
ASHB,CLEV,68762803173.1467
ASHB,NEWY32AOA,29697472835.9478
ASHB,PHIL,13340600332.3678
ASHB,PITT,3048279055.72556
ASHB,RALE,34053219376.0911
ASHB,WASH,25119524553.37559
ATLA,ASHB,16091487966.8278
ATLA,CHAR,2482759518.72667
ATLA,JACK,5139788777.20222
ATLA,NASH,8037937812.82667
BOIS,SALT,7496762499.58111
BOIS,SEAT,287425397.591111
BOST,ALBA,359531754.39
BOST,BOST2,2107438788.44889
BOST2,BOST,3051746820.12222
BOST2,HART2,7528057259.87556
BOST2,HOLY,57042.0644444444
CHAR,ATLA,918571844.425555
CHAR,RALE,30843205756.2256
CHIC,CINC,24324681777.1445
CHIC,EQCH,55456748252.7711
CHIC,INDI,10869938348.9611
CHIC,KANS,99029633112.3722
CHIC,STAR,6895233047.36667
CINC,CHIC,14587569513.9322
CINC,CLEV,5182626110.78778
CINC,INDI,3898720687.26222
CINC,LOUI,213578.34
CINC,NASH,23198571299.7889
CLEV,ALBA,7451160908.18777
CLEV,ASHB,47841082743.7778
CLEV,CINC,22407715258.33
CLEV,EQCH,68369155724.905594
CLEV,NEWY32AOA,57024.5422222222
CLEV,PITT,1776706758.91667
CLEV,TOLE2,877864661.831112
DALL,DALL3,16077028795.70446
DALL,HOUS,24202402207.95
DALL,KANS,25016480279.7189
DALL,TULS,2904292728.17111
DALL3,DALL,37690039205.608795
DENV,ELPA,1254157985.941111
DENV,KANS,65695985784.11771
DENV,SALT,78617129501.23999
ELPA,DENV,537734823.7266669
ELPA,HOUS,7268915445.16
ELPA,LOSA,11481039795.95
ELPA,TUCS,1826136329.79
EQCH,CHIC,99534017732.1677
EQCH,CLEV,63877495627.7544
EQCH,MINN,2495569806.8388853
EQCH,STAR,32031635720.10107
EQCH,TOLE2,1117162961.33444
FARG,MINN,339759705.971111
FARG,SEAT,4540127453.65444
HART2,ALBA,1331579842.45889
HART2,BOST2,5344338851.15333
HART2,NEWY32AOA,15388677907.9611
HOLY,ALBA,643237239.948889
HOLY,BOST2,56935.9922222222
HOUH,HOUS,14152809903.7756
HOUH,PENS,1750766015.70889
HOUS,DALL,9503460533.25222
HOUS,ELPA,12086126035.01
HOUS,HOUH,11632209238.9078
HOUS,JCSN,3003315646.97
HOUS,NASH,7553944698.31889
INDI,CHIC,1254905850.13444
INDI,CINC,965962647.267778
JACK,ATLA,7457659677.76333
JACK,PENS,4479097180.95556
JCSN,HOUS,194387708.752222
JCSN,NASH,596539950.63
KANS,CHIC,60922292012.9534
KANS,DALL,23190474996.4511
KANS,DENV,79306330685.4967
KANS,MINN,103288840.984444
KANS,TULS,14429598167.0289
LASV,LOSA,473675317.67
LASV,SALT,2575571154.08444
LOSA,ELPA,6028563603.82
LOSA,LASV,6464550995.57444
LOSA,LOSA2,24540413420.07111
LOSA,PHOE,3411116620.11111
LOSA,SALT,24724524631.6689
LOSA,SUNN,7619035332.56666
LOSA2,LOSA,15302146795.641102
LOUI,CINC,456827.493333333
LOUI,NASH,241675994.205556
MINN,EQCH,3041992527.634448
MINN,FARG,4540130544.76556
MINN,KANS,73261291.9422222
MINN,MISS,368062723.834445
MISS,MINN,34692143.6455555
MISS,SEAT,1561574155.93111
NASH,ATLA,5193225030.26222
NASH,CINC,11114217287.7211
NASH,HOUS,4145949091.52555
NASH,JCSN,946705782.597777
NASH,LOUI,868791752.232222
NEWY32AOA,ASHB,46425746085.3022
NEWY32AOA,CLEV,56431.6044444444
NEWY32AOA,HART2,6487401755.10222
NEWY32AOA,PHIL,5340613628.09889
PENS,HOUH,4500881421.76444
PENS,JACK,1594007094.18333
PHIL,ASHB,16980321498.2833
PHIL,NEWY32AOA,180878811.618889
PHOE,LOSA,870894170.58
PHOE,TUCS,107852273.351111
PITT,ASHB,7221176904.85222
PITT,CLEV,3162728402.63889
PORT,SACR,177924418.587778
PORT,SEAT,1027360760.82667
RALE,ASHB,37309632156.6822
RALE,CHAR,11684447801.7711
SACR,PORT,114758783.286667
SACR,SALT,9213845085.25889
SACR,SEAT,4616866419.50222
SACR,SUNN,21976818434.845596
SALT,BOIS,777090891.536666
SALT,DENV,51330467011.6622
SALT,LASV,3256452201.10222
SALT,LOSA,40955803320.6244
SALT,SACR,12772979474.62
SALT,SEAT,27973732027.1455
SANJ,SUNN,11448356077.60889
SEAT,BOIS,68806.9966666667
SEAT,FARG,344423147.831111
SEAT,MISS,1532538224.24111
SEAT,PORT,3346039783.59555
SEAT,SACR,4059572973.95444
SEAT,SALT,12716143954.5
STAR,CHIC,19726236938.6211
STAR,EQCH,27195148439.817753
SUNN,LOSA,9488595614.76001
SUNN,SACR,14603195541.221111
SUNN,SANJ,15249690790.326662
TOLE2,CLEV,824686471.154445
TOLE2,EQCH,5559318913.07778
TUCS,ELPA,1779060315.53445
TUCS,PHOE,899935668.527777
TULS,DALL,1392643581.35
TULS,KANS,12164387915.3811
WASH,ASHB,40779496090.69889
