source_id,target_id,throughput
ALBA,BOST,54221871.8944445
ALBA,CLEV,7781743712.20556
ALBA,HART2,742472723.054444
ALBA,HOLY,903443038.69
ASHB,ATLA,4596384362.08889
ASHB,CLEV,42343139534.6978
ASHB,NEWY32AOA,19915552577.1933
ASHB,PHIL,10580455643.4589
ASHB,PITT,1852583968.76556
ASHB,RALE,11053854194.6555
ASHB,WASH,23678750030.10665
ATLA,ASHB,20373867237.6933
ATLA,CHAR,999978084.101112
ATLA,JACK,4790551776.00111
ATLA,NASH,4185322054.79222
BOIS,SALT,968693067.416666
BOIS,SEAT,173268399.42
BOST,ALBA,162062518.1
BOST,BOST2,2815146047.86778
BOST2,BOST,2845454935.93
BOST2,HART2,17082418669.5411
BOST2,HOLY,57066.4877777778
CHAR,ATLA,869618224.281111
CHAR,RALE,23138132245.02
CHIC,CINC,11081510878.1322
CHIC,EQCH,41572579373.561104
CHIC,INDI,3838905720.85222
CHIC,KANS,61472908085.7867
CHIC,STAR,4901576911.68333
CINC,CHIC,7340942868.19445
CINC,CLEV,2673858092.64667
CINC,INDI,1811685349.57778
CINC,LOUI,215644.78
CINC,NASH,10362595690.5311
CLEV,ALBA,24217293767.3867
CLEV,ASHB,32980885679.211098
CLEV,CINC,9703132479.22222
CLEV,EQCH,52232504049.28439
CLEV,NEWY32AOA,57053.8466666667
CLEV,PITT,573740208.801111
CLEV,TOLE2,891999332.312222
DALL,DALL3,13164380492.794449
DALL,HOUS,12422431053.96222
DALL,KANS,23386277263.2733
DALL,TULS,4441284573.70778
DALL3,DALL,26269229430.294395
DENV,ELPA,774336097.651111
DENV,KANS,45766193032.0556
DENV,SALT,59042370880.3855
ELPA,DENV,440701392.03111124
ELPA,HOUS,4486679743.52
ELPA,LOSA,4244048091.09333
ELPA,TUCS,1208781724.57444
EQCH,CHIC,57665328685.747696
EQCH,CLEV,59884619858.4178
EQCH,MINN,1596948080.582225
EQCH,STAR,20081676848.5078
EQCH,TOLE2,2164829657.82778
FARG,MINN,208296610.283333
FARG,SEAT,2241088280.41222
HART2,ALBA,793360228.875556
HART2,BOST2,11181055675.3556
HART2,NEWY32AOA,25105395775.7145
HOLY,ALBA,568019769.09
HOLY,BOST2,56959.6666666667
HOUH,HOUS,7935975646.40333
HOUH,PENS,1896146444.20556
HOUS,DALL,9310993202.62333
HOUS,ELPA,4760017453.03222
HOUS,HOUH,6838430583.47666
HOUS,JCSN,2468469482.83556
HOUS,NASH,2434005682.92111
INDI,CHIC,861257412.564444
INDI,CINC,877371444.11
JACK,ATLA,4375317604.95444
JACK,PENS,2683529411.35333
JCSN,HOUS,56057214.5277778
JCSN,NASH,467047.688888889
KANS,CHIC,47531691851.817795
KANS,DALL,15979608765.7189
KANS,DENV,55590109322.706604
KANS,MINN,89850397.0977779
KANS,TULS,8648005486.78333
LASV,LOSA,625628544.591111
LASV,SALT,123548998.365556
LOSA,ELPA,3519021549.55778
LOSA,LASV,3075043864.52556
LOSA,LOSA2,23960436293.299995
LOSA,PHOE,2550568994.47889
LOSA,SALT,13813477587.0278
LOSA,SUNN,3066709197.49
LOSA2,LOSA,10706526299.041111
LOUI,CINC,449761.437777778
LOUI,NASH,88211004.6288889
MINN,EQCH,653342482.1088889
MINN,FARG,2241131165.29444
MINN,KANS,169242815.854444
MINN,MISS,152764443.565556
MISS,MINN,24119789.4166667
MISS,SEAT,224980412.451111
NASH,ATLA,2719773288.321109
NASH,CINC,3823716955.36444
NASH,HOUS,2955449430.40666
NASH,JCSN,167710.148888889
NASH,LOUI,86637761.1044445
NEWY32AOA,ASHB,33269983215.2233
NEWY32AOA,CLEV,56417.0911111111
NEWY32AOA,HART2,11453451220.4422
NEWY32AOA,PHIL,3149564922.69555
PENS,HOUH,2702214971.11333
PENS,JACK,1755917075.98444
PHIL,ASHB,13448583204.3678
PHIL,NEWY32AOA,324278377.941111
PHOE,LOSA,724804105.183333
PHOE,TUCS,311447267.003333
PITT,ASHB,4072022591.33
PITT,CLEV,1926642341.44333
PORT,SACR,96180950.0511111
PORT,SEAT,761563934.93
RALE,ASHB,28128067955.2256
RALE,CHAR,3389332666.62111
SACR,PORT,127794479.23
SACR,SALT,7388829656.01111
SACR,SEAT,3438985561.76444
SACR,SUNN,14104947408.58997
SALT,BOIS,1159433133.75889
SALT,DENV,28868663527.26
SALT,LASV,1052308714.96889
SALT,LOSA,31258288328.0322
SALT,SACR,7164477690.35333
SALT,SEAT,22259368056.56
SANJ,SUNN,8579933641.88779
SEAT,BOIS,70029.7677777778
SEAT,FARG,211116519.582222
SEAT,MISS,892180420.558889
SEAT,PORT,2312151619.94556
SEAT,SACR,2573626930.73333
SEAT,SALT,9514927186.40777
STAR,CHIC,13520736695.7311
STAR,EQCH,41083644612.2044
SUNN,LOSA,7501522287.397779
SUNN,SACR,10437528588.31444
SUNN,SANJ,9402770700.924437
TOLE2,CLEV,1834193305.14444
TOLE2,EQCH,3711202448.03667
TUCS,ELPA,1405757786.77778
TUCS,PHOE,562321497.336667
TULS,DALL,1521689136.60445
TULS,KANS,5989582179.79778
WASH,ASHB,47844271391.35554
