source_id,target_id,throughput
ALBA,BOST,67326324.7411111
ALBA,CLEV,7784135874.07111
ALBA,HART2,2977098095.59667
ALBA,HOLY,509194797.993334
ASHB,ATLA,6150730736.87
ASHB,CLEV,75381273310.15219
ASHB,NEWY32AOA,31635977819.4389
ASHB,PHIL,11933655395.8589
ASHB,PITT,2515488544.45333
ASHB,RALE,31792350021.2478
ASHB,WASH,26241439168.66219
ATLA,ASHB,17279405373.6722
ATLA,CHAR,2174079924.52778
ATLA,JACK,5160707055.57667
ATLA,NASH,11289421952.74223
BOIS,SALT,7259927760.47889
BOIS,SEAT,130878131.343333
BOST,ALBA,225768559.895556
BOST,BOST2,2264698285.36778
BOST2,BOST,2876042928.88778
BOST2,HART2,6839027194.50555
BOST2,HOLY,57012.7444444444
CHAR,ATLA,5644066924.13889
CHAR,RALE,32599780460.3244
CHIC,CINC,22903501246.6133
CHIC,EQCH,68268420450.542206
CHIC,INDI,9958565469.21
CHIC,KANS,119961161804.4034
CHIC,STAR,7240528267.79445
CINC,CHIC,23638644463.4756
CINC,CLEV,6028386197.07
CINC,INDI,4157081995.44445
CINC,LOUI,213348.414444444
CINC,NASH,21467220419.2711
CLEV,ALBA,9550539460.53444
CLEV,ASHB,49079595049.3133
CLEV,CINC,20268221613.6478
CLEV,EQCH,79127558197.43561
CLEV,NEWY32AOA,57010.5777777778
CLEV,PITT,1494010969.85667
CLEV,TOLE2,614325280.061111
DALL,DALL3,14202669290.676651
DALL,HOUS,22522048175.47665
DALL,KANS,30409326436.5744
DALL,TULS,3122788596.18444
DALL3,DALL,37375659887.229965
DENV,ELPA,1221548927.408889
DENV,KANS,71699374793.3823
DENV,SALT,98845016229.5311
ELPA,DENV,410005833.0444445
ELPA,HOUS,6772704441.95444
ELPA,LOSA,15533323884.1378
ELPA,TUCS,1855386919.37
EQCH,CHIC,106790114963.0
EQCH,CLEV,67528939410.31
EQCH,MINN,2099235131.5911162
EQCH,STAR,32348928569.634434
EQCH,TOLE2,1019810087.20333
FARG,MINN,283037099.12
FARG,SEAT,4828500522.55222
HART2,ALBA,4599372520.16333
HART2,BOST2,5089613210.30333
HART2,NEWY32AOA,15345054851.9456
HOLY,ALBA,598339358.374444
HOLY,BOST2,56940.7644444444
HOUH,HOUS,20408964708.8734
HOUH,PENS,1613834442.05778
HOUS,DALL,14689865245.23108
HOUS,ELPA,16277919841.4155
HOUS,HOUH,10030049481.8711
HOUS,JCSN,3315237614.42
HOUS,NASH,8029330313.37444
INDI,CHIC,1238322888.27
INDI,CINC,878401686.463334
JACK,ATLA,5544315451.22445
JACK,PENS,4018957543.04
JCSN,HOUS,200127530.424444
JCSN,NASH,710485869.663334
KANS,CHIC,72002330154.87
KANS,DALL,20927200304.5411
KANS,DENV,100897006403.64
KANS,MINN,76736645.3644444
KANS,TULS,16789526886.31
LASV,LOSA,447097766.571111
LASV,SALT,2710188633.71778
LOSA,ELPA,5497521082.2
LOSA,LASV,5794728400.26889
LOSA,LOSA2,29283311599.14331
LOSA,PHOE,3281471131.83556
LOSA,SALT,25550355309.2989
LOSA,SUNN,10662245642.23777
LOSA2,LOSA,14736838454.37666
LOUI,CINC,458579.791111111
LOUI,NASH,149544785.691111
MINN,EQCH,2549317815.998884
MINN,FARG,4828598424.88666
MINN,KANS,70390512.4055555
MINN,MISS,362676261.722222
MISS,MINN,77002792.8155556
MISS,SEAT,1235750672.66111
NASH,ATLA,4950584173.39445
NASH,CINC,12635508909.8744
NASH,HOUS,9473192585.59778
NASH,JCSN,866308307.688889
NASH,LOUI,680077370.441111
NEWY32AOA,ASHB,50901518034.8944
NEWY32AOA,CLEV,56419.4444444445
NEWY32AOA,HART2,6393826197.44223
NEWY32AOA,PHIL,4215950049.39333
PENS,HOUH,4035978123.11889
PENS,JACK,1524107111.88778
PHIL,ASHB,18499341218.7444
PHIL,NEWY32AOA,156464565.83
PHOE,LOSA,713767252.76
PHOE,TUCS,144330255.506667
PITT,ASHB,8490258463.54222
PITT,CLEV,3428101458.25667
PORT,SACR,190296356.943333
PORT,SEAT,807629016.577778
RALE,ASHB,41946138062.3022
RALE,CHAR,10304099801.4644
SACR,PORT,166842385.985556
SACR,SALT,8855404485.65112
SACR,SEAT,4798906210.59445
SACR,SUNN,29331570673.60221
SALT,BOIS,718204466.027777
SALT,DENV,49428546166.5044
SALT,LASV,3644775106.02778
SALT,LOSA,45214996405.2855
SALT,SACR,20409565223.4022
SALT,SEAT,42006627578.8578
SANJ,SUNN,16461548606.019989
SEAT,BOIS,68677.1533333334
SEAT,FARG,287920625.575556
SEAT,MISS,1487382726.59556
SEAT,PORT,2502011642.17111
SEAT,SACR,3939706416.39444
SEAT,SALT,11076431627.3711
STAR,CHIC,19877378591.3522
STAR,EQCH,28077509324.9133
SUNN,LOSA,14268151998.82114
SUNN,SACR,14736586084.48556
SUNN,SANJ,25861550688.0377
TOLE2,CLEV,925684869.711112
TOLE2,EQCH,5844689581.65222
TUCS,ELPA,1686123748.50111
TUCS,PHOE,743771447.862222
TULS,DALL,1486677316.18778
TULS,KANS,12084838536.3256
WASH,ASHB,41543536403.092224
