source_id,target_id
0,3
0,6
0,41
0,49
0,56
0,58
0,67
0,73
2,3
2,65
3,10
3,22
3,41
3,66
4,7
5,7
5,10
5,50
6,7
6,52
26,9
26,14
26,15
26,29
26,66
26,67
9,29
9,39
10,11
11,27
11,54
11,56
12,13
12,14
13,48
14,15
15,31
16,17
16,25
17,40
17,41
17,42
17,66
18,19
18,49
19,21
20,49
21,22
22,23
22,49
23,24
23,25
23,41
28,33
29,30
29,33
29,39
31,48
32,34
32,37
33,55
33,60
33,62
34,47
34,66
35,36
35,66
36,37
36,39
37,38
37,39
37,63
37,67
40,43
40,61
42,44
42,45
42,66
43,45
44,46
46,68
47,51
49,50
51,67
53,57
56,57
57,59
58,59
64,65
64,72
66,67
66,68
67,68
68,69
69,70
70,71
71,72
72,73
