id,city,country,latitude,longitude,fqdn,ipv6,measurement_id
6443,Maxeville,France,48.6985,6.1395,fr-max-as16347.anchors.atlas.ripe.net,2a01:728:0:401::100,18279704
6494,Rennes,France,48.1095,-1.6385,fr-rns-as204092.anchors.atlas.ripe.net,2a00:5884:822c::1,19299328
6513,Nanterre,France,48.8885,2.2075,fr-nan-as62000.anchors.atlas.ripe.net,2a07:abc4::1:f11,19948902
6648,Vitry-sur-Seine,France,48.7715,2.3795,fr-vty-as209523.anchors.atlas.ripe.net,2a02:e58:2::2,23168780
6696,Gravelines,France,51.0205,2.1615,fr-grv-as16276.anchors.atlas.ripe.net,2001:41d0:302:1100::306,23723906
6717,Villeurbanne,France,45.7605,4.8975,fr-vbn-as39180.anchors.atlas.ripe.net,2a01:378:0:2::116,23798601
6728,Ivry sur Seine,France,48.8215,2.3985,fr-ivs-as34019.anchors.atlas.ripe.net,2001:67c:1740:9050::164,23876807
6736,Trevoux,France,45.9405,4.7285,fr-trx-as209097.anchors.atlas.ripe.net,2a0e:5c00:1::161,23928701
6823,Roubaix,France,50.6885,3.1785,fr-rou-as16276-client.anchors.atlas.ripe.net,2001:41d0:2:7f59:1a:1a:1a:1a,26287686
6873,Brest,France,48.3585,-4.5695,fr-bes-as2200-client.anchors.atlas.ripe.net,2001:660:7302:e772::164,27337921
6921,Saint Denis,France,48.9275,2.3485,fr-ysd-as203476-2.anchors.atlas.ripe.net,2001:4b98:dc0:41:ffff::1,28422769
6949,Croissy-Beaubourg,France,48.8315,2.6595,fr-cbg-as212972.anchors.atlas.ripe.net,2a0e:e704:43:ffff::1,29323135
7000,Toulouse,France,43.6175,1.4175,fr-tls-as197422.anchors.atlas.ripe.net,2a03:7220:8085:500::1,30074080
7042,Aubervilliers,France,48.9085,2.3695,fr-avs-as24776.anchors.atlas.ripe.net,2001:1650:0:7040::62,33008009
7048,Nancy,France,48.7015,6.1395,fr-enc-as16347-client.anchors.atlas.ripe.net,2a00:7ee0:9:1::1000,34500479
7071,Reims,France,49.2275,4.0305,fr-rhe-as21409.anchors.atlas.ripe.net,2a00:c70:1:80:93:97:193:3,38827727
7122,Gif-sur-Yvette,France,48.7085,2.1585,fr-gfy-as204515.anchors.atlas.ripe.net,2a0c:700:2::ff:fe:1602,42717442
7136,Grenoble,France,45.2105,5.6885,fr-gnb-as1942-client.anchors.atlas.ripe.net,2001:660:530e:100::151,45259766
6081,Nuremberg,Germany,49.4275,11.0215,de-nue-as33988.anchors.atlas.ripe.net,2001:67c:14c:12f::46,1768118
6117,Berlin,Germany,52.5205,13.3975,de-ber-as20647.anchors.atlas.ripe.net,2a02:f28:1:7::2,1906515
6202,Braunschweig,Germany,52.2785,10.5375,de-bwe-as680.anchors.atlas.ripe.net,2001:638:602::20:2,4377626
6213,Düsseldorf,Germany,51.2285,6.7675,de-dus-as12676.anchors.atlas.ripe.net,2a02:4c00:0:4014::2,4480008
6239,Hamburg,Germany,53.5515,10.0485,de-ham-as12731.anchors.atlas.ripe.net,2001:868:100:3401::4,6952197
6250,Karlsruhe,Germany,48.9975,8.3895,de-kae-as8560.anchors.atlas.ripe.net,2001:8d8:0:3::2e,7708591
6272,Grünwald,Germany,48.0585,11.5605,de-gud-as206549.anchors.atlas.ripe.net,2a0a:d480:1:1::200,7990093
6313,Frankfurt am Main,Germany,50.1285,8.5975,de-fra-as203329.anchors.atlas.ripe.net,2a07:e80:0:10::2,10103388
6336,Mainz,Germany,49.9905,8.2385,de-mai-as2857.anchors.atlas.ripe.net,2001:4c80:0:7f0::5001:1,11445099
6346,Magdeburg,Germany,52.1405,11.6395,de-mag-as680.anchors.atlas.ripe.net,2001:638:90d:bfff::10,11659199
6357,Dortmund,Germany,51.5205,7.4895,de-dtm-as39138.anchors.atlas.ripe.net,2a01:a700:4000::97d,12292599
6385,Mannheim,Germany,49.5095,8.5315,de-mhg-as21473.anchors.atlas.ripe.net,2a00:1e80:8:14::42,15688941
6387,Mutterstadt,Germany,49.4305,8.3615,de-mdt-as15945.anchors.atlas.ripe.net,2a02:24d8:7:16::42,15708035
6396,Munchen,Germany,48.1405,11.5315,de-muc-as5539.anchors.atlas.ripe.net,2001:608:3:337::1,16423075
6531,Bremen,Germany,53.0775,8.7685,de-bre-as50629.anchors.atlas.ripe.net,2a00:c380:1000:2::235,20746259
6548,Stuttgart,Germany,48.7115,9.1695,de-str-as12374.anchors.atlas.ripe.net,2001:14b0:0:18::2,21321291
6550,Espelkamp,Germany,52.3775,8.6195,de-esp-as15817.anchors.atlas.ripe.net,2a03:2a00:0:4::200,21450575
