id,anchor_id,city,country,latitude,longitude,fqdn,ipv4,measurement_id
6878,2512,Minsk,Belarus,53.8915,27.4605,by-msq-as56740.anchors.atlas.ripe.net,31.130.200.18,27717243
6402,1419,Sofia,Bulgaria,42.6685,23.3975,bg-sof-as31287.anchors.atlas.ripe.net,85.187.20.236,16519122
6845,2335,Silistra,Bulgaria,44.1195,27.2595,bg-sls-as198228.anchors.atlas.ripe.net,195.250.60.125,26788759
7260,2658,Varna,Bulgaria,43.2075,27.9305,bg-var-as213093.anchors.atlas.ripe.net,185.184.62.4,59874141
6544,1686,Prague,Czechia,50.0595,14.4795,cz-prg-as39392.anchors.atlas.ripe.net,88.86.103.5,21317854
6788,2213,Brno,Czechia,49.2115,16.6015,cz-brq-as2852-client.anchors.atlas.ripe.net,147.251.58.107,25225858
6039,326,Budapest,Hungary,47.5015,19.0385,hu-bud-as12303.anchors.atlas.ripe.net,5.28.0.17,74279978
7175,3288,Szeged,Hungary,46.2595,20.1505,hu-sze-as210579-client.anchors.atlas.ripe.net,91.227.139.106,49708759
6323,1070,Katowice,Poland,50.2485,18.9985,pl-ktw-as206186.anchors.atlas.ripe.net,188.241.28.37,10509900
6669,1982,Warsaw,Poland,52.2315,21.0005,pl-wrs-as199524.anchors.atlas.ripe.net,5.188.108.64,23414625
6800,2253,Ozarów Mazowiecki,Poland,52.2075,20.8075,pl-ozm-as16276.anchors.atlas.ripe.net,51.83.252.103,25562100
6956,2743,Szczecin,Poland,53.5005,14.5895,pl-szz-as28785.anchors.atlas.ripe.net,213.222.217.85,29389854
7064,3011,Poland,Poland,52.9895,18.6705,pl-tor-as50599.anchors.atlas.ripe.net,91.236.55.69,36389527
7249,3389,Bialystok,Poland,53.1315,23.0895,pl-bia-as41931.anchors.atlas.ripe.net,77.46.127.110,57847141
7327,3737,Oleśnica,Poland,51.2105,17.3885,pl-ole-as24577.anchors.atlas.ripe.net,185.108.68.174,68483696
6510,1652,Chisinau,Republic of Moldova,47.0175,28.8375,md-kiv-as43289.anchors.atlas.ripe.net,178.17.170.109,19874430
6417,1477,Bucharest,Romania,44.4205,26.0975,ro-buh-as48112.anchors.atlas.ripe.net,185.173.16.151,17427923
6453,1447,Iasi,Romania,47.1585,27.5895,ro-ias-as60149.anchors.atlas.ripe.net,86.107.73.26,18397007
6475,1448,Timisoara,Romania,45.7695,21.2305,ro-tsr-as60149.anchors.atlas.ripe.net,93.113.126.132,18812127
7236,3478,Drobeta-Turnu Severin,Romania,44.6405,22.6585,ro-dts-as44024.anchors.atlas.ripe.net,185.225.207.9,55630481
6335,1244,Moscow,Russian Federation,55.7595,37.6185,ru-mow-as47764.anchors.atlas.ripe.net,95.163.252.10,11105151
6526,1684,Ivanovo,Russian Federation,56.9905,40.9885,ru-ivo-as29114.anchors.atlas.ripe.net,195.209.139.36,20447878
6538,1707,Novosibirsk,Russian Federation,55.0315,82.9385,ru-ovb-as49673.anchors.atlas.ripe.net,94.247.111.19,20920346
6623,1606,Saint-Petersburg,Russian Federation,59.8785,30.4285,ru-led-as44050.anchors.atlas.ripe.net,188.143.128.12,23055781
6624,1921,Chita,Russian Federation,52.0295,113.4985,ru-cta-as58067.anchors.atlas.ripe.net,176.114.16.104,23059816
6853,2414,Omsk,Russian Federation,54.9885,73.3595,ru-oms-as49404.anchors.atlas.ripe.net,193.169.52.51,26977869
6936,1688,Khabarovsk,Russian Federation,48.4705,135.0585,ru-khv-as57695.anchors.atlas.ripe.net,185.209.84.141,29117517
7066,3009,Yaroslavl,Russian Federation,57.6405,39.8805,ru-iar-as49558.anchors.atlas.ripe.net,91.213.39.29,38212866
7234,3471,Tomsk,Russian Federation,56.4895,84.9485,ru-tof-as51724.anchors.atlas.ripe.net,193.42.115.222,55412007
7305,3668,Banská Bystrica,Slovakia,48.7495,19.1375,sk-bby-as49798-client.anchors.atlas.ripe.net,91.221.4.240,66073009
6414,1469,Mykolayiv,Ukraine,46.9795,31.9875,ua-nlv-as41018.anchors.atlas.ripe.net,185.126.112.18,17332734
6619,1923,Donetsk,Ukraine,48.0015,37.8375,ua-dok-as12773.anchors.atlas.ripe.net,185.28.108.163,23040074
6829,2350,Dnepropetrovsk,Ukraine,48.4715,35.0585,ua-dnk-as3326.anchors.atlas.ripe.net,77.88.216.1,26382913
6844,2385,Kyiv,Ukraine,50.4495,30.4495,ua-iev-as3326.anchors.atlas.ripe.net,88.81.228.254,26736062
6852,2422,Kremenchuk,Ukraine,49.0685,33.4095,ua-kre-as41009.anchors.atlas.ripe.net,195.189.60.149,26976420
6876,2372,Chervonograd,Ukraine,49.9705,23.1505,ua-cvg-as50012.anchors.atlas.ripe.net,193.104.85.3,27707906
6930,2652,Odesa,Ukraine,46.4775,30.7285,ua-ods-as42905.anchors.atlas.ripe.net,141.105.133.30,29089931
6225,779,Aalborg,Denmark,57.0195,9.8985,dk-aal-as9158.anchors.atlas.ripe.net,77.214.52.102,6721691
6426,1490,Copenhagen,Denmark,55.7305,12.3785,dk-cph-as59795.anchors.atlas.ripe.net,213.184.86.101,17661127
6448,1489,Skanderborg,Denmark,56.0715,9.9795,dk-skg-as48854.anchors.atlas.ripe.net,185.221.36.2,18392130
6545,1751,Kolding,Denmark,55.5095,9.5095,dk-kol-as39642.anchors.atlas.ripe.net,212.10.11.213,21317877
6714,2046,Tastrup,Denmark,55.6595,12.2975,dk-taa-as51468.anchors.atlas.ripe.net,46.30.208.71,23788671
6952,1310,Højbjerg,Denmark,56.1085,10.1595,dk-hjb-as3292.anchors.atlas.ripe.net,217.28.166.213,29338212
6722,2074,Tallinn,Estonia,59.4285,24.6785,ee-tll-as51349.anchors.atlas.ripe.net,195.43.87.140,23857334
6248,938,Helsinki,Finland,60.2015,24.9295,fi-hel-as6667.anchors.atlas.ripe.net,213.192.184.42,7382328
6251,937,Tampere,Finland,61.4875,23.7595,fi-tmp-as719.anchors.atlas.ripe.net,193.65.45.86,7714918
6658,1868,Oulu,Finland,65.0115,25.4695,fi-oul-as20904.anchors.atlas.ripe.net,93.174.194.183,23209510
6734,1888,Tuusula,Finland,60.3395,25.0285,fi-tuu-as24940-client.anchors.atlas.ripe.net,95.217.19.69,23913349
7300,3640,Kaustinen,Finland,63.5475,23.6875,fi-kst-as199087.anchors.atlas.ripe.net,89.190.1.74,64812597
7329,3752,Ulvila,Finland,61.5015,21.8885,fi-ulv-as49282.anchors.atlas.ripe.net,95.175.97.22,68503406
6740,2021,Reykjavík,Iceland,64.1475,-21.9105,is-rey-as1850.anchors.atlas.ripe.net,185.93.159.17,23964313
6965,2782,Dublin,Ireland,53.3295,-6.3695,ie-dub-as1213.anchors.atlas.ripe.net,193.1.201.140,29539105
7210,3145,Cork,Ireland,51.8975,-8.5125,ie-ork-as42953.anchors.atlas.ripe.net,185.6.39.132,53141125
7324,3663,Douglas,Isle of Man,54.1395,-4.5015,im-dgs-as201898.anchors.atlas.ripe.net,185.60.88.254,68275867
6351,1239,Riga,Latvia,56.9675,24.1695,lv-rix-as24921.anchors.atlas.ripe.net,212.3.202.246,11710716
6245,930,Vilnius,Lithuania,54.6995,25.2595,lt-vno-as21412.anchors.atlas.ripe.net,5.20.2.255,6976173
6324,1165,Siauliai,Lithuania,55.9195,23.2885,lt-sqq-as25406.anchors.atlas.ripe.net,62.80.227.146,10522189
6868,2478,Oslo,Norway,59.9215,10.7405,no-osl-as207788.anchors.atlas.ripe.net,195.43.159.22,27262110
7171,3195,Førde,Norway,61.4475,5.8505,no-fde-as35132.anchors.atlas.ripe.net,62.50.171.162,48876254
7173,3316,Bodø,Norway,67.2785,14.4605,no-boo-as29695-client.anchors.atlas.ripe.net,77.110.218.255,49130788
6350,1287,Malmö,Sweden,55.5975,13.0395,se-mma-as39351.anchors.atlas.ripe.net,193.138.218.50,11700665
6441,1501,Lund,Sweden,55.6875,13.2095,se-lud-as60396.anchors.atlas.ripe.net,91.209.0.21,18188358
6536,1728,Boden,Sweden,65.8105,21.6785,se-bod-as200675.anchors.atlas.ripe.net,185.71.177.180,20840382
6851,2284,Stockholm,Sweden,59.2975,18.0895,se-sto-as197564.anchors.atlas.ripe.net,213.108.25.10,26933017
7084,3050,Linköping,Sweden,58.3895,15.5815,se-lpi-as1257-client.anchors.atlas.ripe.net,31.15.54.138,39875572
7130,3169,Grillby,Sweden,59.6275,17.2485,se-gr5-as210422.anchors.atlas.ripe.net,194.68.41.27,44180441
6087,420,Slough,United Kingdom of Great Britain and Northern Ireland,51.5205,-0.6185,uk-slo-as43996.anchors.atlas.ripe.net,5.57.16.65,1790208
6423,1487,Manchester,United Kingdom of Great Britain and Northern Ireland,53.4685,-2.2915,uk-mnc-as41000.anchors.atlas.ripe.net,176.74.17.75,17575882
6446,1456,London,United Kingdom of Great Britain and Northern Ireland,51.5205,-0.1005,uk-lon-as36236.anchors.atlas.ripe.net,185.40.232.202,18366037
6501,1533,Bournemouth,United Kingdom of Great Britain and Northern Ireland,50.7175,-1.8925,uk-boh-as196745.anchors.atlas.ripe.net,37.143.141.141,19583927
6512,1645,Oxford,United Kingdom of Great Britain and Northern Ireland,51.7785,-1.2725,uk-oxf-as28792.anchors.atlas.ripe.net,80.82.241.134,22770559
6515,1626,Redhill,United Kingdom of Great Britain and Northern Ireland,51.2395,-0.1725,uk-reh-as201126.anchors.atlas.ripe.net,153.92.43.249,19954314
6552,1778,Grantham,United Kingdom of Great Britain and Northern Ireland,52.9085,-0.6405,uk-gtm-as201971.anchors.atlas.ripe.net,185.57.191.228,21673100
