source_id,target_id,lat_source,long_source,lat_target,long_target,city_source,city_target,distance,rtt
6389,6092,42.4515,-83.2585,39.0385,-77.4885,Ashburn,Ashburn,3.859723542629346,41.70824
6434,6092,47.6095,-122.3415,39.0385,-77.4885,Ashburn,Ashburn,23.140811367026267,64.684248
6411,6092,37.2375,-121.7825,39.0385,-77.4885,Ashburn,Ashburn,24.046886277610728,68.562907
6436,6092,40.5605,-74.4815,39.0385,-77.4885,Ashburn,Ashburn,1.9259557370736498,23.66415
6341,6092,38.8875,-77.4305,39.0385,-77.4885,Ashburn,Ashburn,0.1097191319588408,2.06197
6274,6092,47.4995,-122.2895,39.0385,-77.4885,Ashburn,Ashburn,23.118987216832164,61.958701
6437,6092,32.7905,-96.7915,39.0385,-77.4885,Ashburn,Ashburn,11.691976363422913,
6452,6092,25.7985,-80.2305,39.0385,-77.4885,Ashburn,Ashburn,9.356496708580979,
6525,6092,37.4295,-122.1715,39.0385,-77.4885,Ashburn,Ashburn,24.21426583638394,67.038476
6454,6092,33.7795,-84.4205,39.0385,-77.4885,Ashburn,Ashburn,5.334674529662582,16.748477
6549,6092,40.7115,-74.0105,39.0385,-77.4885,Ashburn,Ashburn,2.1929485211062643,
6480,6092,37.4675,-121.9185,39.0385,-77.4885,Ashburn,Ashburn,24.072719410970606,66.283045
6588,6092,38.9215,-77.2085,39.0385,-77.4885,Ashburn,Ashburn,0.17204849301760827,1.367607
6418,6092,39.9615,-86.1525,39.0385,-77.4885,Ashburn,Ashburn,4.696755160815784,25.232512
6492,6092,34.0485,-118.2585,39.0385,-77.4885,Ashburn,Ashburn,22.874996764494227,71.17719
6634,6092,44.9695,-93.2515,39.0385,-77.4885,Ashburn,Ashburn,9.119590586186758,30.323695
6565,6092,40.4595,-87.6595,39.0385,-77.4885,Ashburn,Ashburn,5.530364438498459,25.3613
6644,6092,40.7795,-74.0805,39.0385,-77.4885,Ashburn,Ashburn,2.186471202286509,6.47886
6692,6092,32.7885,-96.7885,39.0385,-77.4885,Ashburn,Ashburn,11.691054580240081,52.537056
6769,6092,38.9515,-77.3595,39.0385,-77.4885,Ashburn,Ashburn,0.09241981862267398,0.760758
6782,6092,37.3985,-122.0085,39.0385,-77.4885,Ashburn,Ashburn,24.134181718098894,
6797,6092,38.7505,-77.6685,39.0385,-77.4885,Ashburn,Ashburn,0.22297837599720532,1.545447
6831,6092,34.1675,-118.0915,39.0385,-77.4885,Ashburn,Ashburn,22.755664743874906,76.522463
6875,6092,42.3895,-71.1495,39.0385,-77.4885,Ashburn,Ashburn,4.076600891153961,13.935408
6957,6092,38.9005,-77.0505,39.0385,-77.4885,Ashburn,Ashburn,0.2558190092740683,
6925,6092,39.1395,-94.5815,39.0385,-77.4885,Ashburn,Ashburn,9.223463763165233,37.481964
7014,6092,39.0595,-76.9625,39.0385,-77.4885,Ashburn,Ashburn,0.28478138602639796,2.898781
7058,6092,43.1015,-75.2405,39.0385,-77.4885,Ashburn,Ashburn,3.0646832171365763,21.1466
6835,6092,39.6195,-104.8915,39.0385,-77.4885,Ashburn,Ashburn,14.705945969634,40.763532
7157,6092,38.6505,-121.4905,39.0385,-77.4885,Ashburn,Ashburn,23.62342907315785,80.964497
7052,6092,40.5785,-122.4005,39.0385,-77.4885,Ashburn,Ashburn,23.78182677513087,67.195227
7095,6092,40.6095,-74.1685,39.0385,-77.4885,Ashburn,Ashburn,2.084919283088941,22.090364
7087,6092,36.0405,-94.1685,39.0385,-77.4885,Ashburn,Ashburn,9.42733442753967,35.571493
7158,6092,37.4915,-77.2405,39.0385,-77.4885,Ashburn,Ashburn,1.0855623349068924,4.853176
7199,6092,27.9515,-82.4585,39.0385,-77.4885,Ashburn,Ashburn,8.237066636902098,34.167224
7224,6092,41.0195,-73.6315,39.0385,-77.4885,Ashburn,Ashburn,2.4755531502080226,
7229,6092,45.5615,-122.9415,39.0385,-77.4885,Ashburn,Ashburn,23.517517515317422,76.281753
6781,6092,43.0375,-76.1485,39.0385,-77.4885,Ashburn,Ashburn,2.8716528342829952,28.383131
6287,6101,48.5805,-96.5185,33.4175,-112.0125,Phoenix,Phoenix,13.277345211581384,
6389,6101,42.4515,-83.2585,33.4175,-112.0125,Phoenix,Phoenix,16.893966447294165,56.145729
6072,6101,39.9585,-75.6095,33.4175,-112.0125,Phoenix,Phoenix,20.67700592933788,70.759716
6229,6101,32.8815,-117.2415,33.4175,-112.0125,Phoenix,Phoenix,3.070482267063593,12.998531
6341,6101,38.8875,-77.4305,33.4175,-112.0125,Phoenix,Phoenix,19.688383751119957,54.476426
6343,6101,41.8485,-87.6205,33.4175,-112.0125,Phoenix,Phoenix,14.60798836795419,52.031052
6388,6101,40.4315,-80.0385,33.4175,-112.0125,Phoenix,Phoenix,18.343099408175522,69.843749
6411,6101,37.2375,-121.7825,33.4175,-112.0125,Phoenix,Phoenix,6.149629124161186,40.918168
6092,6101,39.0385,-77.4885,33.4175,-112.0125,Phoenix,Phoenix,19.657886208253597,62.562817
6379,6101,35.9315,-78.8795,33.4175,-112.0125,Phoenix,Phoenix,18.960990972563444,48.906611
6274,6101,47.4995,-122.2895,33.4175,-112.0125,Phoenix,Phoenix,11.191652158821531,39.437681
6418,6101,39.9615,-86.1525,33.4175,-112.0125,Phoenix,Phoenix,15.077068608983238,80.018713
6373,6101,39.0985,-94.5795,33.4175,-112.0125,Phoenix,Phoenix,10.534056585366002,33.181794
6434,6101,47.6095,-122.3415,33.4175,-112.0125,Phoenix,Phoenix,11.269370687295849,38.708494
6437,6101,32.7905,-96.7915,33.4175,-112.0125,Phoenix,Phoenix,8.87995943426115,
6452,6101,25.7985,-80.2305,33.4175,-112.0125,Phoenix,Phoenix,19.869651792574615,
6436,6101,40.5605,-74.4815,33.4175,-112.0125,Phoenix,Phoenix,21.285101457441655,56.793844
6549,6101,40.7115,-74.0105,33.4175,-112.0125,Phoenix,Phoenix,21.53630579844429,62.318731
6634,6101,44.9695,-93.2515,33.4175,-112.0125,Phoenix,Phoenix,12.87465137065854,57.569216
6565,6101,40.4595,-87.6595,33.4175,-112.0125,Phoenix,Phoenix,14.35486928086064,46.462477
6692,6101,32.7885,-96.7885,33.4175,-112.0125,Phoenix,Phoenix,8.88187146256833,59.726262
6492,6101,34.0485,-118.2585,33.4175,-112.0125,Phoenix,Phoenix,3.6424761420721987,19.289132
6525,6101,37.4295,-122.1715,33.4175,-112.0125,Phoenix,Phoenix,6.399935047463251,19.521986
6480,6101,37.4675,-121.9185,33.4175,-112.0125,Phoenix,Phoenix,6.281925206444118,19.540105
6454,6101,33.7795,-84.4205,33.4175,-112.0125,Phoenix,Phoenix,15.95482868229705,43.240082
6769,6101,38.9515,-77.3595,33.4175,-112.0125,Phoenix,Phoenix,19.727129046948953,66.565439
6644,6101,40.7795,-74.0805,33.4175,-112.0125,Phoenix,Phoenix,21.500522402889416,62.616431
6588,6101,38.9215,-77.2085,33.4175,-112.0125,Phoenix,Phoenix,19.80878272727505,54.892796
6782,6101,37.3985,-122.0085,33.4175,-112.0125,Phoenix,Phoenix,6.308518978691843,
6781,6101,43.0375,-76.1485,33.4175,-112.0125,Phoenix,Phoenix,20.54536547823555,59.476919
6797,6101,38.7505,-77.6685,33.4175,-112.0125,Phoenix,Phoenix,19.558816684348578,66.232397
6831,6101,34.1675,-118.0915,33.4175,-112.0125,Phoenix,Phoenix,3.5553294215722446,30.411267
6835,6101,39.6195,-104.8915,33.4175,-112.0125,Phoenix,Phoenix,5.871347230754609,22.307639
6875,6101,42.3895,-71.1495,33.4175,-112.0125,Phoenix,Phoenix,23.060071559636487,67.161119
6957,6101,38.9005,-77.0505,33.4175,-112.0125,Phoenix,Phoenix,19.894331995208717,
6925,6101,39.1395,-94.5815,33.4175,-112.0125,Phoenix,Phoenix,10.541238985375992,32.99725
7058,6101,43.1015,-75.2405,33.4175,-112.0125,Phoenix,Phoenix,21.009248801238346,71.190545
7087,6101,36.0405,-94.1685,33.4175,-112.0125,Phoenix,Phoenix,10.35694456574505,39.800411
7014,6101,39.0595,-76.9625,33.4175,-112.0125,Phoenix,Phoenix,19.9424087955768,56.310771
7052,6101,40.5785,-122.4005,33.4175,-112.0125,Phoenix,Phoenix,7.620442880435247,26.225891
7158,6101,37.4915,-77.2405,33.4175,-112.0125,Phoenix,Phoenix,19.809638681102385,56.680406
7095,6101,40.6095,-74.1685,33.4175,-112.0125,Phoenix,Phoenix,21.451323572082718,58.856153
7224,6101,41.0195,-73.6315,33.4175,-112.0125,Phoenix,Phoenix,21.741082237172733,
7157,6101,38.6505,-121.4905,33.4175,-112.0125,Phoenix,Phoenix,6.4557139139803565,26.502383
7199,6101,27.9515,-82.4585,33.4175,-112.0125,Phoenix,Phoenix,18.035547603437976,45.956466
7229,6101,45.5615,-122.9415,33.4175,-112.0125,Phoenix,Phoenix,10.273006916465736,36.922837
6287,6229,48.5805,-96.5185,32.8815,-117.2415,La Jolla,La Jolla,15.36299798006154,
6343,6229,41.8485,-87.6205,32.8815,-117.2415,La Jolla,La Jolla,17.432430028845843,58.006956
6274,6229,47.4995,-122.2895,32.8815,-117.2415,La Jolla,La Jolla,10.519679861545182,35.741701
6101,6229,33.4175,-112.0125,32.8815,-117.2415,La Jolla,La Jolla,3.070482267063593,13.390908
6373,6229,39.0985,-94.5795,32.8815,-117.2415,La Jolla,La Jolla,13.437204163466612,47.178966
6389,6229,42.4515,-83.2585,32.8815,-117.2415,La Jolla,La Jolla,19.72234485215605,69.131669
6388,6229,40.4315,-80.0385,32.8815,-117.2415,La Jolla,La Jolla,21.26516169965484,67.622195
6092,6229,39.0385,-77.4885,32.8815,-117.2415,La Jolla,La Jolla,22.624699687595932,68.695387
6434,6229,47.6095,-122.3415,32.8815,-117.2415,La Jolla,La Jolla,10.60005046464924,39.545869
6418,6229,39.9615,-86.1525,32.8815,-117.2415,La Jolla,La Jolla,17.999172142456118,84.267844
6072,6229,39.9585,-75.6095,32.8815,-117.2415,La Jolla,La Jolla,23.61750296884161,72.131159
6411,6229,37.2375,-121.7825,32.8815,-117.2415,La Jolla,La Jolla,3.985712496723533,12.681594
6379,6229,35.9315,-78.8795,32.8815,-117.2415,La Jolla,La Jolla,21.99712771157708,71.202437
