id,anchor_id,city,country,latitude,longitude,fqdn,ipv4,measurement_id
6386,1254,Morwell,Australia,-38.2395,146.4015,au-mor-as4764.anchors.atlas.ripe.net,202.142.143.178,15698370
6427,1491,Sydney,Australia,-33.9095,151.1885,au-syd-as9268.anchors.atlas.ripe.net,119.17.170.244,17692049
6849,2332,Brisbane,Australia,-27.4685,153.0295,au-bne-as4608.anchors.atlas.ripe.net,203.119.111.139,26858348
6913,2586,Adelaide,Australia,-34.9315,138.5875,au-adl-as137409.anchors.atlas.ripe.net,116.90.72.210,28381031
6915,2587,Perth,Australia,-31.9605,115.7975,au-euk-as137409.anchors.atlas.ripe.net,45.121.208.237,28383127
6916,2585,Melbourne,Australia,-37.8195,144.9175,au-mel-as137409.anchors.atlas.ripe.net,45.121.209.221,28384615
6803,2144,Auckland,New Zealand,-36.8515,174.7675,nz-akl-as138398.anchors.atlas.ripe.net,103.121.34.150,25584459
7111,2817,Wellington,New Zealand,-41.2925,174.7775,nz-wlg-as24324.anchors.atlas.ripe.net,124.157.73.186,41930856
7018,2842,Nouméa,New Caledonia,-22.2685,166.4575,nc-nou-as45345.anchors.atlas.ripe.net,103.2.186.195,31471701
