source_id,target_id,rtt,throughput
ALBQ,ATLA,30.960000038146973,
ALBQ,BNL515,50.31999969482422,
ALBQ,BNL725,50.170000076293945,
ALBQ,BOIS,23.699999809265137,
ALBQ,BOST,47.56999969482422,
ALBQ,CHAT,34.63999938964844,
ALBQ,CHIC,29.31999969482422,
ALBQ,DENV,7.960000276565552,0.13000225792
ALBQ,ELPA,4.380000114440918,0.12999247872
ALBQ,EQXCH2,29.420000076293945,
ALBQ,EQXDC4,44.14999961853027,
ALBQ,EQXSV5,28.479999542236328,
ALBQ,FNALGCC,,
ALBQ,GA,18.230000495910645,
ALBQ,HOUS,18.630000114440918,
ALBQ,KANS,18.449999809265137,
ALBQ,LASV,24.58000087738037,
ALBQ,LBNL50,30.670000076293945,
ALBQ,LBNL59,30.729999542236328,
ALBQ,LLNL,29.229999542236328,
ALBQ,NASH,34.52000045776367,
ALBQ,NEWY1118TH,48.739999771118164,
ALBQ,NEWY32AOA,48.689998626708984,
ALBQ,ORAU,38.010000228881836,
ALBQ,PANTEX,44.959999084472656,
ALBQ,SACR,28.710000038146973,
ALBQ,SALT,17.329999923706055,
ALBQ,SAND,,
ALBQ,SEAT,33.119998931884766,
ALBQ,SLAC50N,28.510000228881836,
ALBQ,SLAC50S,28.429999351501465,
ALBQ,STAR,29.40999984741211,
ALBQ,WASH,43.709999084472656,
AMESHWH,ANL221,16.019999504089355,
AMESHWH,ANL541B,15.760000228881836,
AMESHWH,EQXCH2,15.400000095367432,
AMESHWH,EQXDC4,28.960000038146973,
AMESHWH,EQXSV5,44.010000228881836,
AMESHWH,LBNL50,37.52000045776367,
AMESHWH,LBNL59,37.579999923706055,
AMESHWH,ORNL1064,31.47000026702881,
AMESHWH,ORNL5600,31.4399995803833,
ANL221,ANL541B,-0.09999999403953552,0.12998662144
ANL221,BNL515,24.99000072479248,
ANL221,BNL725,21.119999885559082,
ANL221,EQXCH2,0.6299999952316284,
ANL221,EQXDC4,14.210000038146973,
ANL221,EQXSV5,51.29999923706055,
ANL221,FNALFCC,0.550000011920929,0.13000055808
ANL221,FNALGCC,,
ANL221,FRIB,5.8399999141693115,
ANL221,GA,57.989999771118164,
ANL221,INLEIL,39.30000114440918,
ANL221,INLEROB,39.31999969482422,
ANL221,JLAB12,18.320000648498535,
ANL221,JLAB205,18.130000114440918,
ANL221,LANLTA03,32.45000076293945,
ANL221,LANLTA50,32.41000175476074,
ANL221,LBNL50,44.89000129699707,
ANL221,LBNL59,45.02000045776367,
ANL221,LLNL,45.75,
ANL221,NETLPGH,24.820000648498535,
ANL221,ORAU,17.40999984741211,
ANL221,ORNL1064,17.0,
ANL221,ORNL5600,16.97000026702881,
ANL221,PPPL,19.09999942779541,
ANL221,SLAC50N,45.96000099182129,
ANL221,SLAC50S,51.329999923706055,
ANL221,SNLCA902,45.72999954223633,
ANL541B,BNL515,24.710000038146973,
ANL541B,BNL725,20.920000076293945,
ANL541B,EQXCH2,0.3199999928474426,0.13000073216
ANL541B,EQXDC4,13.970000267028809,
ANL541B,EQXSV5,51.010000228881836,
ANL541B,FNALFCC,0.639999995008111,
ANL541B,FNALGCC,,
ANL541B,FRIB,5.4700000286102295,
ANL541B,GA,57.739999771118164,
ANL541B,INLEIL,39.05999946594238,
ANL541B,INLEROB,39.05999946594238,
ANL541B,JLAB12,18.0600004196167,
ANL541B,JLAB205,17.989999771118164,
ANL541B,LANLTA03,32.209999084472656,
ANL541B,LANLTA50,32.11000061035156,
ANL541B,LBNL50,44.66000175476074,
ANL541B,LBNL59,44.69999885559082,
ANL541B,LLNL,45.579999923706055,
ANL541B,NETLPGH,24.520000457763672,
ANL541B,ORAU,17.15999984741211,
ANL541B,ORNL1064,16.68000030517578,
ANL541B,ORNL5600,16.739999771118164,
ANL541B,PPPL,18.850000381469727,
ANL541B,SLAC50N,45.7599983215332,
ANL541B,SLAC50S,51.13999938964844,
ANL541B,SNLCA902,45.46999931335449,
ATLA,BNL515,19.40999984741211,
ATLA,BNL725,19.15999984741211,
ATLA,BOIS,51.89999961853027,
ATLA,BOST,22.229999542236328,
ATLA,CHAT,3.6699999570846558,0.1299904
ATLA,CHIC,19.329999923706055,
ATLA,DENV,36.119998931884766,
ATLA,ELPA,26.670000076293945,
ATLA,EQXCH2,26.799999237060547,
ATLA,EQXDC4,13.25,
ATLA,EQXSV5,50.69000053405762,
ATLA,GA,40.459999084472656,
ATLA,HOUS,12.369999885559082,0.12999098368
ATLA,KANS,25.670000076293945,
ATLA,LASV,48.10999870300293,
ATLA,LBNL50,58.83999824523926,
ATLA,LBNL59,51.71999931335449,
ATLA,LLNL,51.489999771118164,
ATLA,NASH,6.169999837875366,
ATLA,NEWY1118TH,17.790000915527344,
ATLA,NEWY32AOA,17.75,
ATLA,ORAU,5.830000162124634,
ATLA,PANTEX,38.670000076293945,
ATLA,SACR,56.85999870300293,
ATLA,SALT,45.53000068664551,
ATLA,SAND,,
ATLA,SEAT,61.349998474121094,
ATLA,STAR,19.43000030517578,
ATLA,WASH,12.75,0.12999744512
BNL515,BNL725,0.0800000037997961,
BNL515,BOIS,61.529998779296875,
BNL515,BOST,6.0,
BNL515,CHAT,23.059999465942383,
BNL515,CHIC,24.510000228881836,
BNL515,DENV,45.89999961853027,
BNL515,ELPA,46.040000915527344,
BNL515,EQXCH2,24.34999942779541,
BNL515,EQXDC4,7.069999933242798,
BNL515,EQXSV5,70.09000015258789,
BNL515,GA,59.829999923706055,
BNL515,HOUS,31.770000457763672,
BNL515,KANS,35.38999938964844,
