source_id,target_id,rtt
6434,6434,0.176068
6434,6436,80.884176
6434,6437,60.181082
6434,6452,83.361403
6434,6454,57.752949
6434,6456,53.547775
6434,6597,55.864024
6434,6598,24.699032
6434,6599,18.468797
6436,6434,80.907875
6436,6436,0.057687
6436,6437,38.186925
6436,6452,29.595608
6436,6454,16.776644
6436,6456,11.560401
6436,6597,18.486849
6436,6598,57.983512
6436,6599,67.277517
6437,6434,60.217672
6437,6436,38.216236
6437,6437,0.050374
6437,6452,29.074118
6437,6454,18.614267
6437,6456,31.59009
6437,6597,22.143092
6437,6598,32.80677
6437,6599,43.257668
6452,6434,83.405446
6452,6436,29.135643
6452,6437,28.40851
6452,6452,0.069473
6452,6454,12.286776
6452,6456,42.044662
6452,6597,42.152542
6452,6598,60.70002
6452,6599,72.984965
6454,6434,58.319282
6454,6436,16.738174
6454,6437,18.636636
6454,6452,12.272944
6454,6454,0.086555
6454,6456,26.879786
6454,6597,15.405336
6454,6598,49.688451
6454,6599,56.978491
6456,6434,53.595635
6456,6436,11.572796
6456,6437,31.6466
6456,6452,42.10616
6456,6454,26.853235
6456,6456,0.052448
6456,6597,11.248372
6456,6598,64.285496
6456,6599,56.284097
6597,6434,55.831709
6597,6436,18.534172
6597,6437,22.166468
6597,6452,42.257981
6597,6454,15.390896
6597,6456,11.230657
6597,6597,0.090522
6597,6598,54.035786
6597,6599,51.171578
6598,6434,26.27895
6598,6436,57.966612
6598,6437,32.818133
6598,6452,60.652603
6598,6454,49.160625
6598,6456,64.291379
6598,6597,54.003455
6598,6598,0.064971
6598,6599,9.261722
6599,6434,18.256158
6599,6436,67.276847
6599,6437,43.240231
6599,6452,72.966257
6599,6454,56.929339
6599,6456,56.266577
6599,6597,51.116663
6599,6598,9.259963
6599,6599,0.059446
