source_id,target_id,rtt,throughput
ALBQ,ATLA,31.469167421585635,
ALBQ,BNL515,50.310001373291016,
ALBQ,BNL725,50.170000076293945,
ALBQ,BOIS,23.55252966370241,
ALBQ,BOST,47.71000099182129,
ALBQ,CHAT,34.72999954223633,
ALBQ,CHIC,29.329999923706055,
ALBQ,DENV,7.9700000286102295,0.13000665088
ALBQ,ELPA,4.380000114440918,0.13000501248
ALBQ,EQXCH2,29.420000076293945,
ALBQ,EQXDC4,44.18000030517578,
ALBQ,EQXSV5,28.43000030517578,
ALBQ,FNALGCC,30.670000076293945,
ALBQ,GA,18.230000495910645,
ALBQ,HOUS,18.68000030517578,
ALBQ,KANS,18.40999984741211,
ALBQ,LASV,24.52999973297119,
ALBQ,LBNL50,30.690000534057617,
ALBQ,LBNL59,30.780000686645508,
ALBQ,LLNL,29.260000228881836,
ALBQ,NASH,34.540000915527344,
ALBQ,NEWY1118TH,48.829999923706055,
ALBQ,NEWY32AOA,48.689998626708984,
ALBQ,ORAU,38.010000228881836,
ALBQ,PANTEX,44.95000076293945,
ALBQ,SACR,28.700000762939453,
ALBQ,SALT,18.817463836093896,
ALBQ,SAND,17.77999973297119,
ALBQ,SEAT,33.15999984741211,
ALBQ,SLAC50N,28.460000038146973,
ALBQ,SLAC50S,28.43000030517578,
ALBQ,STAR,29.440000534057617,
ALBQ,WASH,43.670000076293945,
AMESHWH,ANL221,16.02999973297119,
AMESHWH,ANL541B,15.970000267028809,
AMESHWH,EQXCH2,15.987994852257941,
AMESHWH,EQXDC4,28.90999984741211,
AMESHWH,EQXSV5,43.959999084472656,
AMESHWH,LBNL50,37.55999946594238,
AMESHWH,LBNL59,37.670000076293945,
AMESHWH,ORNL1064,31.489999771118164,
AMESHWH,ORNL5600,31.40999984741211,
ANL221,ANL541B,0.08999998867511749,0.12999692288
ANL221,BNL515,25.06999969482422,
ANL221,BNL725,21.15999984741211,
ANL221,EQXCH2,0.6099999994039536,
ANL221,EQXDC4,14.180000305175781,
ANL221,EQXSV5,51.3799991607666,
ANL221,FNALFCC,0.7700000107288361,0.12999917568
ANL221,FNALGCC,0.8900000154972076,
ANL221,FRIB,5.849999904632568,
ANL221,GA,58.040000915527344,
ANL221,INLEIL,39.14999961853027,
ANL221,INLEROB,39.380001068115234,
ANL221,JLAB12,18.289999961853027,
ANL221,JLAB205,18.289999961853027,
ANL221,LANLTA03,32.5,
ANL221,LANLTA50,32.40999984741211,
ANL221,LBNL50,45.0,
ANL221,LBNL59,45.02000045776367,
ANL221,LLNL,45.869998931884766,
ANL221,NETLPGH,24.77999973297119,
ANL221,ORAU,18.18817579673189,
ANL221,ORNL1064,18.18817579673189,
ANL221,ORNL5600,18.18817579673189,
ANL221,PPPL,19.149999618530273,
ANL221,SLAC50N,45.959999084472656,
ANL221,SLAC50S,51.35000038146973,
ANL221,SNLCA902,45.79999923706055,
ANL541B,BNL515,24.869999885559082,
ANL541B,BNL725,21.06999969482422,
ANL541B,EQXCH2,0.510000005364418,0.12999977984
ANL541B,EQXDC4,14.110000133514404,
ANL541B,EQXSV5,51.30000114440918,
ANL541B,FNALFCC,0.800000011920929,
ANL541B,FNALGCC,0.8999999761581421,
ANL541B,FRIB,5.710000038146973,
ANL541B,GA,57.88999938964844,
ANL541B,INLEIL,39.27000045776367,
ANL541B,INLEROB,39.19000053405762,
ANL541B,JLAB12,18.199999809265137,
ANL541B,JLAB205,18.210000038146973,
ANL541B,LANLTA03,32.3700008392334,
ANL541B,LANLTA50,32.25,
ANL541B,LBNL50,44.85000038146973,
ANL541B,LBNL59,44.84000015258789,
ANL541B,LLNL,45.71999931335449,
ANL541B,NETLPGH,24.699999809265137,
ANL541B,ORAU,18.18817579673189,
ANL541B,ORNL1064,18.18817579673189,
ANL541B,ORNL5600,18.18817579673189,
ANL541B,PPPL,19.019999504089355,
ANL541B,SLAC50N,45.8799991607666,
ANL541B,SLAC50S,51.31999969482422,
ANL541B,SNLCA902,45.619998931884766,
ATLA,BNL515,19.420000076293945,
ATLA,BNL725,19.22000026702881,
ATLA,BOIS,51.65999984741211,
ATLA,BOST,22.369999885559082,
ATLA,CHAT,3.7300000190734863,0.13022601216
ATLA,CHIC,20.49090843813999,
ATLA,DENV,36.15999984741211,
ATLA,ELPA,26.690000534057617,
ATLA,EQXCH2,26.800000190734863,
ATLA,EQXDC4,13.1899995803833,
ATLA,EQXSV5,50.64000129699707,
ATLA,GA,41.45178600640454,
ATLA,HOUS,12.40999984741211,0.12888968192
ATLA,KANS,25.700000762939453,
ATLA,LASV,48.14000129699707,
ATLA,LBNL50,58.90999984741211,
ATLA,LBNL59,51.75,
ATLA,LLNL,51.510000228881836,
ATLA,NASH,6.18999981880188,
ATLA,NEWY1118TH,17.739999771118164,
ATLA,NEWY32AOA,17.699999809265137,
ATLA,ORAU,5.900000095367432,
ATLA,PANTEX,38.720001220703125,
ATLA,SACR,56.8799991607666,
ATLA,SALT,45.48000144958496,
ATLA,SAND,39.42978454994108,
ATLA,SEAT,61.35000038146973,
ATLA,STAR,20.49090843813999,
ATLA,WASH,12.739999771118164,0.12320775168
BNL515,BNL725,0.11999999918043613,
BNL515,BOIS,61.43000030517578,
BNL515,BOST,6.159999847412109,
BNL515,CHAT,23.68307276939236,
BNL515,CHIC,24.549999237060547,
BNL515,DENV,45.84000015258789,
BNL515,ELPA,45.97999954223633,
BNL515,EQXCH2,24.34000015258789,
BNL515,EQXDC4,7.049999952316284,
BNL515,EQXSV5,70.0099983215332,
BNL515,GA,59.829999923706055,
BNL515,HOUS,31.769999504089355,
BNL515,KANS,35.43000030517578,
BNL515,LASV,62.44999885559082,
BNL515,LBNL50,68.59000015258789,
BNL515,LBNL59,68.72000122070312,
BNL515,LLNL,70.94999694824219,
BNL515,NASH,37.670000076293945,
BNL515,NEWY1118TH,1.5299999713897705,
BNL515,NEWY32AOA,1.600000023841858,
BNL515,ORAU,25.280000686645508,
BNL515,ORNL1064,24.97000026702881,
BNL515,ORNL5600,22.890000343322754,
BNL515,PANTEX,58.060001373291016,
BNL515,SACR,66.61000061035156,
BNL515,SALT,55.20000076293945,
BNL515,SAND,59.35999870300293,
BNL515,SEAT,71.06000137329102,
BNL515,STAR,24.510000228881836,
BNL515,WASH,6.629999876022339,
BNL725,BOIS,57.61000061035156,
BNL725,BOST,6.109999895095825,
BNL725,CHAT,21.68307276939236,
BNL725,CHIC,20.699999809265137,
BNL725,DENV,42.07000160217285,
BNL725,ELPA,45.81999969482422,
BNL725,EQXCH2,20.5,
BNL725,EQXDC4,6.879999876022339,
BNL725,EQXSV5,69.80999755859375,
BNL725,GA,59.63999938964844,
BNL725,HOUS,31.539999961853027,
BNL725,KANS,31.56999969482422,
BNL725,LASV,67.34000015258789,
BNL725,LBNL50,64.77000045776367,
BNL725,LBNL59,70.90999984741211,
BNL725,LLNL,70.72999954223633,
BNL725,NASH,25.429999351501465,
BNL725,NEWY1118TH,1.5300000309944153,
BNL725,NEWY32AOA,1.4399999976158142,
BNL725,ORAU,25.08000087738037,
BNL725,ORNL1064,24.81999969482422,
BNL725,ORNL5600,22.72000026702881,
BNL725,PANTEX,57.86000061035156,
BNL725,SACR,62.739999771118164,
BNL725,SALT,51.380001068115234,
BNL725,SAND,59.25,
BNL725,SEAT,67.19999694824219,
BNL725,STAR,20.74000072479248,
BNL725,WASH,6.430000066757202,
BOIS,BOST,55.29999923706055,
BOIS,CHAT,52.46999931335449,
BOIS,CHIC,36.8799991607666,
BOIS,DENV,15.519999980926514,
BOIS,ELPA,27.829999923706055,
BOIS,EQXCH2,37.03000068664551,
BOIS,EQXDC4,50.6200008392334,
BOIS,EQXSV5,26.0,
BOIS,GA,20.769999504089355,
BOIS,HOUS,39.329999923706055,
BOIS,KANS,26.039999961853027,
BOIS,LASV,13.369999885559082,
BOIS,LBNL50,25.389999389648438,
BOIS,LBNL59,25.449999809265137,
BOIS,LLNL,26.260000228881836,
BOIS,NASH,50.03000068664551,
BOIS,NEWY1118TH,59.86000061035156,
BOIS,NEWY32AOA,56.13999938964844,
BOIS,ORAU,53.47999954223633,
BOIS,PANTEX,65.6400032043457,
BOIS,SACR,23.389999389648438,
BOIS,SALT,6.130000114440918,0.12999507968
BOIS,SAND,21.1701744301039,
BOIS,SEAT,9.25,0.13000474624
BOIS,STAR,37.029998779296875,
BOIS,WASH,51.130001068115234,
BOST,CHAT,34.02000045776367,
BOST,CHIC,18.420000076293945,
BOST,DENV,39.80000114440918,
BOST,ELPA,61.80000114440918,
BOST,EQXCH2,18.230000495910645,0.12123133952
BOST,EQXDC4,31.800000190734863,
BOST,EQXSV5,68.93000030517578,
BOST,GA,75.59000015258789,
BOST,HOUS,47.470001220703125,
BOST,KANS,29.078187482087053,
BOST,LASV,56.40999984741211,
BOST,LBNL50,62.52000045776367,
BOST,LBNL59,62.579999923706055,
BOST,LLNL,63.39000129699707,
BOST,NASH,31.56999969482422,
BOST,NEWY1118TH,4.389999866485596,0.12999699456
BOST,NEWY32AOA,4.579999923706055,
BOST,ORAU,35.0,
BOST,PANTEX,73.84000015258789,
BOST,SACR,60.52000045776367,
BOST,SALT,49.10000038146973,
BOST,SAND,75.13000106811523,
BOST,SEAT,64.97000122070312,
BOST,STAR,18.429999351501465,
BOST,WASH,9.639999866485596,
CHAT,CHIC,15.639999866485596,
CHAT,DENV,37.02000045776367,
CHAT,ELPA,30.9780884369336,
CHAT,EQXCH2,15.789999961853027,
CHAT,EQXDC4,16.93000030517578,
CHAT,EQXSV5,54.31999969482422,
CHAT,GA,44.18000030517578,
CHAT,HOUS,16.09000015258789,
CHAT,KANS,26.520000457763672,
CHAT,LASV,51.81999969482422,
CHAT,LBNL50,59.779998779296875,
CHAT,LBNL59,59.80999946594238,
CHAT,LLNL,55.25,
CHAT,NASH,2.5199999809265137,0.13000315904
CHAT,NEWY1118TH,20.776667320275102,
CHAT,NEWY32AOA,20.76435661751414,
CHAT,ORAU,2.1699999570846558,
CHAT,PANTEX,42.46000099182129,
CHAT,SACR,57.689998626708984,
CHAT,SALT,46.30999946594238,
CHAT,SAND,43.739999771118164,
CHAT,SEAT,62.15999984741211,
CHAT,STAR,15.760000228881836,
CHAT,WASH,16.449999809265137,
CHIC,DENV,21.420000076293945,
CHIC,ELPA,43.34000015258789,
CHIC,EQXCH2,0.13999999687075615,0.13000359936
CHIC,EQXDC4,13.700000286102295,
CHIC,EQXSV5,50.52000045776367,
CHIC,GA,57.220001220703125,
CHIC,HOUS,29.09999942779541,
CHIC,KANS,10.940000057220459,0.12056592384
CHIC,LASV,37.90999984741211,
CHIC,LBNL50,44.10000038146973,
CHIC,LBNL59,44.20000076293945,
CHIC,LLNL,45.02000045776367,
CHIC,NASH,13.190000057220459,0.12999896064
CHIC,NEWY1118TH,22.850000381469727,
CHIC,NEWY32AOA,19.210000038146973,
CHIC,ORAU,18.221166146922847,
CHIC,PANTEX,55.439998626708984,
CHIC,SACR,42.060001373291016,
CHIC,SALT,31.265997074815786,
CHIC,SAND,56.73000144958496,
CHIC,SEAT,46.55999946594238,
CHIC,STAR,0.15000000223517418,0.12999906304
CHIC,WASH,14.200000286102295,
DENV,ELPA,12.309999942779541,
DENV,EQXCH2,21.5,
DENV,EQXDC4,35.07000160217285,
DENV,EQXSV5,29.15999984741211,
