id,city,country,latitude,longitude,fqdn,ipv4,measurement_id
6863,Dronten,Netherlands (Kingdom of the),52.5385,5.7005,nl-dro-as12414.anchors.atlas.ripe.net,87.195.79.82,27211633
6877,Steenbergen,Netherlands (Kingdom of the),51.5905,4.3105,nl-ste-as208725.anchors.atlas.ripe.net,45.87.76.6,27708731
7003,Arnhem,Netherlands (Kingdom of the),51.9885,5.9275,nl-arn-as39636.anchors.atlas.ripe.net,195.246.236.1,30425619
7135,Delft,Netherlands (Kingdom of the),51.9895,4.3785,nl-dft-as41887.anchors.atlas.ripe.net,94.228.142.117,45196094
7231,Utrecht,Netherlands (Kingdom of the),52.0875,5.0085,nl-utc-as200232.anchors.atlas.ripe.net,194.31.131.71,54618408
6268,Zürich,Switzerland,47.3915,8.5205,ch-zrh-as34288.anchors.atlas.ripe.net,46.234.34.8,7934265
6390,Glattbrugg,Switzerland,47.4275,8.5615,ch-gtg-as20612.anchors.atlas.ripe.net,194.242.34.190,15766244
6445,Dübendorf,Switzerland,47.3995,8.6195,ch-drf-as61174.anchors.atlas.ripe.net,80.242.193.157,18358271
6490,Neuchâtel,Switzerland,46.9975,6.9515,ch-qnc-as559.anchors.atlas.ripe.net,192.42.42.166,19215551
6520,Lausanne,Switzerland,46.5175,6.6385,ch-lau-as198385.anchors.atlas.ripe.net,5.1.99.172,20355360
6523,Münchenstein,Switzerland,47.5085,7.6185,ch-mus-as206291.anchors.atlas.ripe.net,185.188.44.100,20389536
6540,Basel,Switzerland,47.5575,7.5895,ch-bsl-as206484.anchors.atlas.ripe.net,213.173.161.11,20937758
6618,Gais,Switzerland,47.3615,9.4475,ch-sgg-as8758-client.anchors.atlas.ripe.net,185.104.85.110,23024623
6780,Winterthur,Switzerland,47.4975,8.7215,ch-win-as34927.anchors.atlas.ripe.net,193.148.250.29,25163323
6847,Geneve,Switzerland,46.2005,6.1395,ch-gva-as62371.anchors.atlas.ripe.net,185.70.40.236,26835782
7073,Stabio,Switzerland,45.8485,8.9505,ch-sbo-as202032.anchors.atlas.ripe.net,185.54.81.31,38998048
7149,Reichenburg,Switzerland,47.1715,8.9795,ch-rbg-as3303.anchors.atlas.ripe.net,212.243.96.78,46831271
7258,Richterswil,Switzerland,47.2115,8.7095,ch-ric-as207143-client.anchors.atlas.ripe.net,194.56.191.153,59626352
