source_id,target_id,rtt,throughput
ALBQ,ATLA,31.02999973297119,
ALBQ,BNL515,50.34000015258789,
ALBQ,BNL725,50.14999961853027,
ALBQ,BOIS,23.630000114440918,
ALBQ,BOST,47.70000076293945,
ALBQ,CHAT,34.670000076293945,
ALBQ,CHIC,29.329999923706055,
ALBQ,DENV,7.890000343322754,0.12860476416
ALBQ,ELPA,4.370000123977661,0.12999953408
ALBQ,EQXCH2,29.449999809265137,
ALBQ,EQXDC4,44.170000076293945,
ALBQ,EQXSV5,28.460000038146973,
ALBQ,FNALGCC,,
ALBQ,GA,19.06214893326746,
ALBQ,HOUS,18.600000381469727,
ALBQ,KANS,18.47000026702881,
ALBQ,LASV,24.58000087738037,
ALBQ,LBNL50,30.639999389648438,
ALBQ,LBNL59,30.75999927520752,
ALBQ,LLNL,29.270000457763672,
ALBQ,NASH,34.53999900817871,
ALBQ,NEWY1118TH,48.86000061035156,
ALBQ,NEWY32AOA,48.75,
ALBQ,ORAU,38.02000045776367,
ALBQ,PANTEX,44.94999885559082,
ALBQ,SACR,28.710000038146973,
ALBQ,SALT,17.329999923706055,
ALBQ,SAND,,
ALBQ,SEAT,33.14000129699707,
ALBQ,SLAC50N,28.510000228881836,
ALBQ,SLAC50S,28.429999351501465,
ALBQ,STAR,29.43000030517578,
ALBQ,WASH,43.709999084472656,
AMESHWH,ANL221,16.079999446868896,
AMESHWH,ANL541B,15.960000038146973,
AMESHWH,EQXCH2,15.420000076293945,
AMESHWH,EQXDC4,28.959999084472656,
AMESHWH,EQXSV5,44.0,
AMESHWH,LBNL50,37.5,
AMESHWH,LBNL59,37.619998931884766,
AMESHWH,ORNL1064,31.47000026702881,
AMESHWH,ORNL5600,31.289999961853027,
ANL221,ANL541B,0.07000000774860382,0.12999860224
ANL221,BNL515,24.960000038146973,
ANL221,BNL725,21.66135354858315,
ANL221,EQXCH2,0.7099999934434891,
ANL221,EQXDC4,14.230000019073486,
ANL221,EQXSV5,51.329999923706055,
ANL221,FNALFCC,0.7599999904632568,0.13000215552
ANL221,FNALGCC,,
ANL221,FRIB,5.829999923706055,
ANL221,GA,57.989999771118164,
ANL221,INLEIL,39.30000114440918,
ANL221,INLEROB,39.29999923706055,
ANL221,JLAB12,18.13707700750046,
ANL221,JLAB205,18.13707700750046,
ANL221,LANLTA03,32.55000114440918,
ANL221,LANLTA50,32.45000076293945,
ANL221,LBNL50,44.989999771118164,
ANL221,LBNL59,44.989999771118164,
ANL221,LLNL,45.739999771118164,
ANL221,NETLPGH,24.820000648498535,
ANL221,ORAU,17.4399995803833,
ANL221,ORNL1064,17.050000190734863,
ANL221,ORNL5600,16.920000076293945,
ANL221,PPPL,18.32963724008838,
ANL221,SLAC50N,46.010000228881836,
ANL221,SLAC50S,51.329999923706055,
ANL221,SNLCA902,45.75,
ANL541B,BNL515,24.84999942779541,
ANL541B,BNL725,21.66135354858315,
ANL541B,EQXCH2,0.5400000214576721,0.12999825408
ANL541B,EQXDC4,14.050000190734863,
ANL541B,EQXSV5,51.18000030517578,
ANL541B,FNALFCC,0.7999999821186066,
ANL541B,FNALGCC,,
ANL541B,FRIB,5.690000057220459,
ANL541B,GA,57.90999984741211,
ANL541B,INLEIL,39.22999954223633,
ANL541B,INLEROB,39.170000076293945,
ANL541B,JLAB12,18.13707700750046,
ANL541B,JLAB205,18.13707700750046,
ANL541B,LANLTA03,32.38999938964844,
ANL541B,LANLTA50,32.260000228881836,
ANL541B,LBNL50,44.75,
ANL541B,LBNL59,44.86000061035156,
ANL541B,LLNL,45.720001220703125,
ANL541B,NETLPGH,24.699999809265137,
ANL541B,ORAU,17.329999923706055,
ANL541B,ORNL1064,16.959999084472656,
ANL541B,ORNL5600,16.8100004196167,
ANL541B,PPPL,18.32963724008838,
ANL541B,SLAC50N,45.869998931884766,
ANL541B,SLAC50S,51.30999946594238,
ANL541B,SNLCA902,45.64999961853027,
ATLA,BNL515,19.239999771118164,
ATLA,BNL725,19.18000030517578,
ATLA,BOIS,51.77000045776367,
ATLA,BOST,22.063473349943045,
ATLA,CHAT,3.6699999570846558,0.13000749056
ATLA,CHIC,19.350000381469727,
ATLA,DENV,36.05999946594238,
ATLA,ELPA,26.579999923706055,
ATLA,EQXCH2,26.77999973297119,
ATLA,EQXDC4,13.210000038146973,
ATLA,EQXSV5,50.72999954223633,
ATLA,GA,40.44999885559082,
ATLA,HOUS,12.279999732971191,0.12998933504
ATLA,KANS,25.6899995803833,
ATLA,LASV,48.1200008392334,
ATLA,LBNL50,58.869998931884766,
ATLA,LBNL59,51.63999938964844,
ATLA,LLNL,51.489999771118164,
ATLA,NASH,6.109999895095825,
ATLA,NEWY1118TH,17.889999389648438,
ATLA,NEWY32AOA,17.59000015258789,
ATLA,ORAU,5.75,
ATLA,PANTEX,38.59000015258789,
ATLA,SACR,56.89999961853027,
ATLA,SALT,45.60000038146973,
ATLA,SAND,,
ATLA,SEAT,61.30000114440918,
ATLA,STAR,19.449999809265137,
ATLA,WASH,12.739999771118164,0.12998852608
BNL515,BNL725,0.13000000268220901,
BNL515,BOIS,61.47999954223633,
BNL515,BOST,6.099999904632568,
BNL515,CHAT,23.08000087738037,
BNL515,CHIC,24.52999973297119,
BNL515,DENV,45.79999923706055,
BNL515,ELPA,46.040000915527344,
BNL515,EQXCH2,24.380000114440918,
BNL515,EQXDC4,7.039999961853027,
BNL515,EQXSV5,70.11999893188477,
BNL515,GA,59.81999969482422,
BNL515,HOUS,32.706307205301066,
BNL515,KANS,35.43000030517578,
BNL515,LASV,62.459999084472656,
BNL515,LBNL50,68.5099983215332,
BNL515,LBNL59,68.61999893188477,
BNL515,LLNL,70.91999816894531,
BNL515,NASH,37.63999938964844,
BNL515,NEWY1118TH,1.6200000047683716,
BNL515,NEWY32AOA,1.659999966621399,
BNL515,ORAU,25.22000026702881,
BNL515,ORNL1064,24.959999084472656,
BNL515,ORNL5600,22.81999969482422,
BNL515,PANTEX,58.010000228881836,
BNL515,SACR,66.61000061035156,
BNL515,SALT,55.26999855041504,
BNL515,SAND,,
BNL515,SEAT,71.09000015258789,
BNL515,STAR,24.52999973297119,
BNL515,WASH,6.670000076293945,
BNL725,BOIS,57.71999931335449,
BNL725,BOST,6.109999895095825,
BNL725,CHAT,22.889999389648438,
BNL725,CHIC,21.371792470862538,
BNL725,DENV,42.0,
BNL725,ELPA,45.79999923706055,
BNL725,EQXCH2,21.371792470862538,
BNL725,EQXDC4,6.930000066757202,
BNL725,EQXSV5,69.84000015258789,
BNL725,GA,59.61000061035156,
BNL725,HOUS,30.706307205301066,
BNL725,KANS,31.670000076293945,
BNL725,LASV,67.34000015258789,
BNL725,LBNL50,64.72000122070312,
BNL725,LBNL59,70.88999938964844,
BNL725,LLNL,70.6500015258789,
BNL725,NASH,25.34999942779541,
BNL725,NEWY1118TH,1.600000023841858,
BNL725,NEWY32AOA,1.4300000071525574,
BNL725,ORAU,25.079999923706055,
BNL725,ORNL1064,24.760000228881836,
BNL725,ORNL5600,22.619999885559082,
BNL725,PANTEX,57.880001068115234,
BNL725,SACR,62.75,
BNL725,SALT,51.43000030517578,
BNL725,SAND,,
BNL725,SEAT,67.2599983215332,
BNL725,STAR,21.371792470862538,
BNL725,WASH,6.480000019073486,
BOIS,BOST,55.41000175476074,
BOIS,CHAT,52.70000076293945,
BOIS,CHIC,37.11000061035156,
BOIS,DENV,15.670000076293945,
BOIS,ELPA,27.920000076293945,
BOIS,EQXCH2,37.209999084472656,
BOIS,EQXDC4,50.77000045776367,
BOIS,EQXSV5,26.09000015258789,
BOIS,GA,20.967036340281517,
BOIS,HOUS,39.53999900817871,
BOIS,KANS,25.706689854365283,
BOIS,LASV,13.510000228881836,
BOIS,LBNL50,25.4399995803833,
BOIS,LBNL59,25.639999389648438,
BOIS,LLNL,26.34000015258789,
BOIS,NASH,50.14999961853027,
BOIS,NEWY1118TH,59.869998931884766,
BOIS,NEWY32AOA,56.189998626708984,
BOIS,ORAU,53.619998931884766,
BOIS,PANTEX,65.78000259399414,
BOIS,SACR,23.519999504089355,
BOIS,SALT,6.289999961853027,0.1299931136
BOIS,SAND,,
BOIS,SEAT,9.389999866485596,0.12999872512
BOIS,STAR,37.14999961853027,
BOIS,WASH,51.239999771118164,
BOST,CHAT,34.05000114440918,
BOST,CHIC,18.41999912261963,
BOST,DENV,39.760000228881836,
BOST,ELPA,61.760000228881836,
BOST,EQXCH2,18.27999973297119,0.11222001664
BOST,EQXDC4,31.84000015258789,
BOST,EQXSV5,68.90999984741211,
BOST,GA,75.59000015258789,
BOST,HOUS,47.47999954223633,
BOST,KANS,29.309999465942383,
BOST,LASV,56.3700008392334,
BOST,LBNL50,62.3799991607666,
BOST,LBNL59,62.59000015258789,
BOST,LLNL,63.420000076293945,
BOST,NASH,31.50999927520752,
BOST,NEWY1118TH,4.509999990463257,0.1316292608
BOST,NEWY32AOA,4.579999923706055,
BOST,ORAU,35.02000045776367,
BOST,PANTEX,73.83000183105469,
BOST,SACR,60.45000076293945,
BOST,SALT,49.13999938964844,
BOST,SAND,,
BOST,SEAT,64.88999938964844,
BOST,STAR,18.40999984741211,
BOST,WASH,9.630000114440918,
CHAT,CHIC,16.874565126122402,
CHAT,DENV,37.040000915527344,
CHAT,ELPA,30.359999656677246,
CHAT,EQXCH2,16.874565126122402,
CHAT,EQXDC4,17.253627325587857,
CHAT,EQXSV5,54.39999961853027,
CHAT,GA,44.170000076293945,
CHAT,HOUS,16.079999923706055,
CHAT,KANS,26.5600004196167,
CHAT,LASV,51.86000061035156,
CHAT,LBNL50,59.68000030517578,
CHAT,LBNL59,59.790000915527344,
CHAT,LLNL,55.209999084472656,
CHAT,NASH,2.399999976158142,0.13000745984
CHAT,NEWY1118TH,21.530000686645508,
CHAT,NEWY32AOA,21.449999809265137,
CHAT,ORAU,2.1399999856948853,
CHAT,PANTEX,42.43000030517578,
CHAT,SACR,57.71999931335449,
CHAT,SALT,46.38999938964844,
CHAT,SAND,,
CHAT,SEAT,62.19000053405762,
CHAT,STAR,16.874565126122402,
CHAT,WASH,15.427885834598914,
CHIC,DENV,21.34999942779541,
CHIC,ELPA,43.34000015258789,
CHIC,EQXCH2,0.20000000298023224,0.1299987456
CHIC,EQXDC4,13.740000247955322,
CHIC,EQXSV5,50.56999969482422,
CHIC,GA,57.220001220703125,
CHIC,HOUS,29.09999942779541,
CHIC,KANS,10.940000057220459,0.1300028928
CHIC,LASV,37.98000144958496,
CHIC,LBNL50,44.10999870300293,
CHIC,LBNL59,44.18000030517578,
