source_id,target_id,ip_version,rtt
ALBQ,ATLA,4,30.72000026702881
ALBQ,BNL515,4,49.71000099182129
ALBQ,BNL725,4,49.95000076293945
ALBQ,BOIS,4,23.52999973297119
ALBQ,BOST,4,46.29999923706055
ALBQ,CHAT,4,34.17999839782715
ALBQ,CHIC,4,29.130000114440918
ALBQ,DENV,4,7.5899999141693115
ALBQ,ELPA,4,4.139999985694885
ALBQ,EQXCH2,4,28.809999465942383
ALBQ,EQXDC4,4,43.779998779296875
ALBQ,EQXSV5,4,27.429999351501465
ALBQ,FNALGCC,4,30.40999984741211
ALBQ,GA,4,18.119999885559082
ALBQ,GERMANTOWN,4,46.06999969482422
ALBQ,HOUS,4,18.520000457763672
ALBQ,KANS,4,18.260000228881836
ALBQ,LASV,4,24.119999885559082
ALBQ,LBNL50,4,30.420000076293945
ALBQ,LBNL59,4,30.449999809265137
ALBQ,LLNL,4,28.989999771118164
ALBQ,NASH,4,34.22999954223633
ALBQ,NEWY325HUDSON,4,48.39999961853027
ALBQ,NEWY32AOA,4,47.81999969482422
ALBQ,PANTEX,4,42.78000068664551
ALBQ,SACR,4,28.190000534057617
ALBQ,SALT,4,17.170000076293945
ALBQ,SAND,4,17.56999969482422
ALBQ,SEAT,4,32.80000114440918
ALBQ,SLAC50N,4,28.34000015258789
ALBQ,SLAC50S,4,28.270000457763672
ALBQ,STAR,4,29.34000015258789
ALBQ,SUNN,4,27.960000038146973
ALBQ,WASH,4,43.27000045776367
AMESHWH,ANL221,4,15.660000324249268
AMESHWH,ANL541B,4,15.619999885559082
AMESHWH,EQXCH2,4,14.839999675750732
AMESHWH,EQXDC4,4,28.670000076293945
AMESHWH,EQXSV5,4,42.8700008392334
AMESHWH,LBNL50,4,37.380001068115234
AMESHWH,LBNL59,4,37.44999885559082
AMESHWH,ORNL1064,4,31.1200008392334
AMESHWH,ORNL5600,4,31.25
ANL221,ANL541B,4,-0.4699999988079071
ANL221,BNL515,4,23.579999923706055
ANL221,BNL725,4,20.72000026702881
ANL221,EQXCH2,4,0.06000000238418579
ANL221,EQXDC4,4,13.670000076293945
ANL221,EQXSV5,4,50.010000228881836
ANL221,FNALFCC,4,-0.07000002264976501
ANL221,FNALGCC,4,0.44999998807907104
ANL221,FRIB,4,5.429999828338623
ANL221,GA,4,57.56999969482422
ANL221,INLEIL,4,39.03999900817871
ANL221,INLEROB,4,38.46999931335449
ANL221,JLAB12,4,17.90000057220459
ANL221,JLAB205,4,17.210000038146973
ANL221,LANLTA03,4,32.15999984741211
ANL221,LANLTA50,4,31.540000915527344
ANL221,LBNL50,4,44.5099983215332
ANL221,LBNL59,4,44.69000053405762
ANL221,LLNL,4,45.38999938964844
ANL221,NETLPGH,4,24.0600004196167
ANL221,ORNL1064,4,16.639999389648438
ANL221,ORNL5600,4,16.459999561309814
ANL221,PPPL,4,18.609999656677246
ANL221,SLAC50N,4,45.55999946594238
ANL221,SLAC50S,4,51.0
ANL221,SNLCA902,4,45.30999946594238
ANL541B,BNL515,4,23.18000030517578
ANL541B,BNL725,4,20.90000057220459
ANL541B,EQXCH2,4,-0.21000000275671482
ANL541B,EQXDC4,4,13.610000133514404
ANL541B,EQXSV5,4,50.420000076293945
ANL541B,FNALFCC,4,0.06000000052154064
ANL541B,FNALGCC,4,1.0899999737739563
ANL541B,FRIB,4,5.170000076293945
ANL541B,GA,4,57.579999923706055
ANL541B,INLEIL,4,38.739999771118164
ANL541B,INLEROB,4,38.459999084472656
ANL541B,JLAB12,4,17.949999809265137
ANL541B,JLAB205,4,17.5
ANL541B,LANLTA03,4,31.800000190734863
ANL541B,LANLTA50,4,31.489999771118164
ANL541B,LBNL50,4,44.39999961853027
ANL541B,LBNL59,4,44.489999771118164
ANL541B,LLNL,4,45.31999969482422
ANL541B,NETLPGH,4,23.489999771118164
ANL541B,ORNL1064,4,16.280000686645508
ANL541B,ORNL5600,4,16.510000228881836
ANL541B,PPPL,4,18.72000026702881
ANL541B,SLAC50N,4,45.6200008392334
ANL541B,SLAC50S,4,50.869998931884766
ANL541B,SNLCA902,4,45.239999771118164
ATLA,BNL515,4,18.780000686645508
ATLA,BNL725,4,18.929999351501465
ATLA,BOIS,4,54.40999984741211
ATLA,BOST,4,21.90999984741211
ATLA,CHAT,4,3.2300000190734863
ATLA,CHIC,4,19.079999923706055
ATLA,DENV,4,38.579999923706055
ATLA,ELPA,4,26.329999923706055
ATLA,EQXCH2,4,26.24000072479248
ATLA,EQXDC4,4,12.929999828338623
ATLA,EQXSV5,4,49.63999938964844
ATLA,GA,4,40.19000053405762
ATLA,HOUS,4,12.09000015258789
ATLA,KANS,4,25.410000801086426
ATLA,LASV,4,47.709999084472656
ATLA,LBNL50,4,61.329999923706055
ATLA,LBNL59,4,51.55999946594238
ATLA,LLNL,4,51.21000099182129
ATLA,NASH,4,5.900000095367432
ATLA,NEWY325HUDSON,4,17.489999771118164
ATLA,NEWY32AOA,4,16.920000076293945
ATLA,PANTEX,4,36.579999923706055
ATLA,SACR,4,58.84000015258789
ATLA,SALT,4,48.04999923706055
ATLA,SAND,4,39.80999946594238
ATLA,SEAT,4,63.69000053405762
ATLA,STAR,4,19.149999618530273
ATLA,SUNN,4,50.06999969482422
ATLA,WASH,4,12.170000076293945
BNL515,BNL725,4,-0.48999999463558197
BNL515,BOIS,4,60.21999931335449
BNL515,BOST,4,5.729999780654907
BNL515,CHAT,4,22.550000190734863
BNL515,CHIC,4,22.890000343322754
BNL515,DENV,4,44.54999923706055
BNL515,ELPA,4,45.6299991607666
BNL515,EQXCH2,4,22.729999542236328
BNL515,EQXDC4,4,6.319999933242798
BNL515,EQXSV5,4,68.59000015258789
BNL515,GA,4,59.170000076293945
BNL515,HOUS,4,31.15000057220459
BNL515,KANS,4,34.010000228881836
BNL515,LASV,4,60.939998626708984
BNL515,LBNL50,4,67.1500015258789
BNL515,LBNL59,4,67.20999908447266
BNL515,LLNL,4,70.34000015258789
BNL515,NASH,4,36.3700008392334
BNL515,NEWY325HUDSON,4,1.2399999797344208
BNL515,NEWY32AOA,4,0.5500000268220901
BNL515,ORNL1064,4,24.630000114440918
BNL515,ORNL5600,4,22.869999885559082
BNL515,PANTEX,4,55.73000144958496
BNL515,SACR,4,64.92000198364258
BNL515,SALT,4,53.97999954223633
BNL515,SAND,4,58.71000099182129
BNL515,SEAT,4,69.42000198364258
BNL515,STAR,4,22.979999542236328
BNL515,SUNN,4,69.04999923706055
BNL515,WASH,4,5.960000038146973
BNL725,BOIS,4,57.579999923706055
BNL725,BOST,4,5.6600000858306885
BNL725,CHAT,4,22.309999465942383
BNL725,CHIC,4,20.5600004196167
BNL725,DENV,4,41.670000076293945
BNL725,ELPA,4,45.39999961853027
BNL725,EQXCH2,4,19.880000114440918
BNL725,EQXDC4,4,6.5299999713897705
BNL725,EQXSV5,4,68.82999801635742
BNL725,GA,4,59.42999839782715
BNL725,HOUS,4,31.389999389648438
BNL725,KANS,4,31.360000610351562
BNL725,LASV,4,66.77000045776367
BNL725,LBNL50,4,64.47000122070312
BNL725,LBNL59,4,70.54999923706055
BNL725,LLNL,4,70.33999633789062
BNL725,NASH,4,24.960000038146973
BNL725,NEWY325HUDSON,4,1.2100000381469727
BNL725,NEWY32AOA,4,0.7400000002235174
BNL725,ORNL1064,4,24.22000026702881
BNL725,ORNL5600,4,23.079999923706055
BNL725,PANTEX,4,55.59000015258789
BNL725,SACR,4,62.26999855041504
BNL725,SALT,4,51.15999984741211
BNL725,SAND,4,58.90999984741211
BNL725,SEAT,4,66.81000137329102
BNL725,STAR,4,20.539999961853027
BNL725,SUNN,4,69.31999969482422
BNL725,WASH,4,6.019999980926514
BOIS,BOST,4,54.03999900817871
BOIS,CHAT,4,52.19999885559082
BOIS,CHIC,4,36.8799991607666
BOIS,DENV,4,15.430000305175781
BOIS,ELPA,4,27.77999973297119
BOIS,EQXCH2,4,36.689998626708984
BOIS,EQXDC4,4,50.44000053405762
BOIS,EQXSV5,4,25.0600004196167
BOIS,GA,4,20.739999771118164
BOIS,HOUS,4,42.06999969482422
BOIS,KANS,4,25.97000026702881
BOIS,LASV,4,13.190000057220459
BOIS,LBNL50,4,25.410000801086426
BOIS,LBNL59,4,25.47000026702881
BOIS,LLNL,4,26.179999351501465
BOIS,NASH,4,49.98000144958496
BOIS,NEWY325HUDSON,4,58.72999954223633
BOIS,NEWY32AOA,4,55.48000144958496
BOIS,PANTEX,4,66.41999816894531
BOIS,SACR,4,22.979999542236328
BOIS,SALT,4,6.21999979019165
BOIS,SAND,4,21.610000610351562
BOIS,SEAT,4,9.139999866485596
BOIS,STAR,4,37.02000045776367
BOIS,SUNN,4,25.630000114440918
BOIS,WASH,4,50.8799991607666
BOST,CHAT,4,32.579999923706055
BOST,CHIC,4,16.890000343322754
BOST,DENV,4,38.40999984741211
BOST,ELPA,4,60.489999771118164
BOST,EQXAM3,4,69.25
BOST,EQXCH2,4,16.710000038146973
BOST,EQXDC4,4,30.289999961853027
BOST,EQXSV5,4,66.79000091552734
BOST,GA,4,74.13999938964844
BOST,HOUS,4,46.0
BOST,KANS,4,27.93000030517578
BOST,LASV,4,54.96000099182129
BOST,LBNL50,4,61.06999969482422
BOST,LBNL59,4,61.14000129699707
BOST,LLNL,4,62.1299991607666
BOST,NASH,4,30.27999973297119
BOST,NEWY325HUDSON,4,4.120000004768372
BOST,NEWY32AOA,4,3.5899999141693115
BOST,PANTEX,4,70.70000076293945
BOST,SACR,4,58.75
BOST,SALT,4,47.80000114440918
BOST,SAND,4,73.72999954223633
BOST,SEAT,4,63.329999923706055
BOST,STAR,4,17.0
BOST,SUNN,4,67.09000015258789
BOST,WASH,4,9.03000020980835
CERN513,GA,4,138.88999938964844
CERN513,PPPL,4,90.09000015258789
CHAT,CHIC,4,15.03000020980835
CHAT,DENV,4,36.579999923706055
CHAT,ELPA,4,30.019999504089355
CHAT,EQXCH2,4,15.139999866485596
CHAT,EQXDC4,4,16.209999561309814
CHAT,EQXSV5,4,53.05000114440918
CHAT,GA,4,43.619998931884766
CHAT,HOUS,4,15.519999980926514
CHAT,KANS,4,26.140000343322754
CHAT,LASV,4,51.28999900817871
CHAT,LBNL50,4,59.239999771118164
CHAT,LBNL59,4,59.34000015258789
CHAT,LLNL,4,54.72999954223633
CHAT,NASH,4,2.1600000262260437
CHAT,NEWY325HUDSON,4,21.09999942779541
CHAT,NEWY32AOA,4,20.25
CHAT,PANTEX,4,40.15999984741211
CHAT,SACR,4,56.869998931884766
CHAT,SALT,4,45.9900016784668
CHAT,SAND,4,43.220001220703125
CHAT,SEAT,4,61.489999771118164
CHAT,STAR,4,15.190000057220459
CHAT,SUNN,4,53.489999771118164
CHAT,WASH,4,15.75
CHIC,DENV,4,21.030000686645508
CHIC,ELPA,4,42.97999954223633
CHIC,EQXCH2,4,-0.4399999976158142
CHIC,EQXDC4,4,13.389999866485596
CHIC,EQXSV5,4,49.510000228881836
CHIC,GA,4,57.060001373291016
CHIC,HOUS,4,28.989999771118164
CHIC,KANS,4,10.579999923706055
CHIC,LASV,4,37.540000915527344
CHIC,LBNL50,4,43.900001525878906
CHIC,LBNL59,4,43.8700008392334
CHIC,LLNL,4,44.670000076293945
CHIC,NASH,4,12.739999771118164
CHIC,NEWY325HUDSON,4,21.579999923706055
