source_id,target_id,ip_version,rtt
ALBQ,ATLA,4,30.690000534057617
ALBQ,BNL515,4,49.709999084472656
ALBQ,BNL725,4,49.80999946594238
ALBQ,BOIS,4,39.209999084472656
ALBQ,BOST,4,46.39999961853027
ALBQ,CHAT,4,33.85000038146973
ALBQ,CHIC,4,28.839999198913574
ALBQ,DENV,4,7.319999933242798
ALBQ,ELPA,4,4.240000009536743
ALBQ,EQXCH2,4,29.170000076293945
ALBQ,EQXDC4,4,43.790000915527344
ALBQ,EQXSV5,4,28.15000057220459
ALBQ,FNALGCC,4,30.239999771118164
ALBQ,GA,4,18.039999961853027
ALBQ,GERMANTOWN,4,44.60000038146973
ALBQ,HOUS,4,18.100000381469727
ALBQ,KANS,4,18.199999809265137
ALBQ,LASV,4,25.550000190734863
ALBQ,LBNL50,4,46.170000076293945
ALBQ,LBNL59,4,29.039999961853027
ALBQ,LLNL,4,29.1200008392334
ALBQ,NASH,4,33.6299991607666
ALBQ,NEWY325HUDSON,4,48.540000915527344
ALBQ,NEWY32AOA,4,47.39000129699707
ALBQ,PANTEX,4,42.98000144958496
ALBQ,SACR,4,44.13999938964844
ALBQ,SALT,4,32.39999961853027
ALBQ,SAND,4,17.309999465942383
ALBQ,SEAT,4,48.579999923706055
ALBQ,SLAC50N,4,27.99000072479248
ALBQ,SLAC50S,4,28.270000457763672
ALBQ,STAR,4,29.289999961853027
ALBQ,SUNN,4,27.91999912261963
ALBQ,WASH,4,43.3700008392334
AMESHWH,ANL221,4,15.749999523162842
AMESHWH,ANL541B,4,15.829999923706055
AMESHWH,EQXCH2,4,15.289999961853027
AMESHWH,EQXDC4,4,28.699999809265137
AMESHWH,EQXSV5,4,50.829999923706055
AMESHWH,LBNL50,4,68.9000015258789
AMESHWH,LBNL59,4,51.8799991607666
AMESHWH,ORNL1064,4,31.269999504089355
AMESHWH,ORNL5600,4,30.949999809265137
ANL221,ANL541B,4,-0.19999999180436134
ANL221,BNL515,4,23.50999927520752
ANL221,BNL725,4,20.850000381469727
ANL221,EQXCH2,4,0.32999999821186066
ANL221,EQXDC4,4,13.879754668130037
ANL221,EQXSV5,4,67.84000015258789
ANL221,FNALFCC,4,0.23000001907348633
ANL221,FNALGCC,4,0.320000022649765
ANL221,FRIB,4,5.5
ANL221,GA,4,57.739999771118164
ANL221,INLEIL,4,80.09000015258789
ANL221,INLEROB,4,80.09000015258789
ANL221,JLAB12,4,18.109999656677246
ANL221,JLAB205,4,17.169999599456787
ANL221,LANLTA03,4,32.15999984741211
ANL221,LANLTA50,4,31.459999084472656
ANL221,LBNL50,4,85.79000091552734
ANL221,LBNL59,4,68.78000259399414
ANL221,LLNL,4,68.65999984741211
ANL221,NETLPGH,4,24.559999465942383
ANL221,ORNL1064,4,16.739999771118164
ANL221,ORNL5600,4,16.670000076293945
