,Cities,Latency,GeodesicDistance,GCD,GCDPredic,GeodesicPredic,Error Percent
0,"('6379', '6066')",20.22659,0.23625779246054,559.6093540388814,11.309415935925994,6.516152365851122,67.78422677351386
1,"('6379', '6080')",49.293,1.5422654224757235,2322.173244550337,46.929921575388555,42.536740806608805,13.706325834076228
2,"('6379', '6101')",53.578937,1.9204819445354864,3028.2674182334404,61.19972003833804,52.96821254498684,1.1398592230621567
3,"('6379', '6208')",58.309609,2.004551522036472,3090.526710203158,62.457948164226146,55.28690929832524,5.183879215644819
4,"('6379', '6222')",17.142338,0.8032695822173446,980.8410151546857,19.82229018750375,22.15472740208566,29.239823658159462
5,"('6379', '6257')",46.838919,0.8480046351808396,1438.4657267465354,29.070649187576528,23.388550922438917,50.06598909244913
6,"('6379', '6274')",67.723057,2.6845122420512366,3769.120198405553,76.17197198120213,74.04069349424786,9.328634550929774
7,"('6379', '6280')",28.776758,0.5358279441763049,1034.5276154386054,20.907268643304302,14.778503133253187,48.64430825302424
8,"('6379', '6287')",46.703294,1.4553463845594024,2012.038429397019,40.66225718510264,40.13945397573936,14.054340630150502
9,"('6379', '6373')",30.723663,0.8480046351808396,1426.7661521748264,28.83420682979627,23.388550922438917,23.874471209897994
10,"('6379', '6379')",0.175062,0.0,0.0,0.0,0.0,100.0
11,"('6379', '6388')",23.219158,0.4824181761442767,510.5138614280758,10.31722139430973,13.305425006614941,42.69635011478478
12,"('6379', '6389')",18.126724,0.6242890729025895,817.032428866816,16.51180328653457,17.218321888996094,5.01139704562118
13,"('6379', '6418')",26.69537,0.4912095525298848,779.0032953569953,15.743254145171324,13.547897212240649,49.25001147299832
14,"('6379', '6428')",9.53284,0.3456262431112267,234.7730763591093,4.74464258315025,9.53260943604902,0.0024186281420889417
15,"('6379', '6557')",24.424948,0.5515391118825819,773.8054992707666,15.638209371589493,15.211827941520156,37.720121485948894
16,"('6379', '6574')",12.220575,0.4824181761442767,682.7636104033112,13.798299832259554,13.305425006614941,8.877241918771752
17,"('6379', '6613')",31.16964,1.007164211872955,1586.9681677666474,32.07180680024945,27.778281485012464,10.880326224452824
18,"('6287', '6066')",49.15816,1.355697599385589,1927.907882523468,38.96202229688489,37.391071962591646,23.937201956721644
19,"('6287', '6080')",36.162642,1.0244748649102855,1190.9903753409535,24.069300188073004,28.25572119850877,21.86488697781326
20,"('6287', '6101')",52.188561,1.7004325973837988,2120.5300905975714,42.85481760826412,46.89910024560755,10.135287605252136
21,"('6287', '6208')",51.270462,1.4906753975346498,1884.184227556816,38.078389818821584,41.1138524456662,19.80986548226112
22,"('6287', '6222')",42.260674,1.4739055294382175,2091.0720412385376,42.259485649536344,40.65132795268115,3.808140985443941
23,"('6287', '6257')",26.995669,0.8242970240554601,1082.3027787071956,21.872780011031942,22.734678706354778,15.783977398912477
24,"('6287', '6274')",38.589502,1.4713703423225784,1910.6280083089985,38.61280496625689,40.581405748848624,5.161776249013581
25,"('6287', '6280')",20.042024,0.8969393097203319,990.338770836158,20.01423492303101,24.738202893498983,23.43165986378911
26,"('6287', '6287')",0.109787,0.0,0.0,0.0,0.0,100.0
27,"('6287', '6373')",32.565583,0.8242970240554601,1065.6592566800346,21.53642302935284,22.734678706354778,30.188018724078177
28,"('6287', '6379')",46.703294,1.4553463845594024,2012.038429397019,40.66225718510264,40.13945397573936,14.054340630150502
29,"('6287', '6388')",32.771564,1.4118343046751574,1584.9284398055404,32.03058495193364,38.93936089382257,18.820575343375644
30,"('6287', '6389')",25.236441,0.8670972677769555,1235.0154776016059,24.9590247602123,23.915138857447605,5.235691286867249
31,"('6287', '6418')",23.258317,0.9420352158368384,1262.4774831930174,25.51401770560617,25.981978991933293,11.71048615397791
32,"('6287', '6428')",42.127802,1.358680453237999,1955.1286099615247,39.51213913545022,37.47334112283792,11.048430386095339
33,"('6287', '6557')",32.146764,1.4379645741406708,1503.3912533103617,30.38276053716327,39.660051692736516,23.371832053566948
34,"('6287', '6574')",33.845037,1.4118343046751574,1965.606404352969,39.72388994699174,38.93936089382257,15.051908183236936
35,"('6287', '6613')",29.659569,0.5226510774323452,815.7971316005178,16.48683856697038,14.41507608810081,51.39822804538795
36,"('6080', '6066')",34.936667,1.3287030432008438,1942.6670152053518,39.26029674342201,36.64654354168164,4.894217704515539
37,"('6080', '6080')",0.099658,0.0,0.0,0.0,0.0,100.0
38,"('6080', '6101')",34.17426,0.7891642092424047,941.8788129124588,19.034884209106906,21.76569151664616,36.309691807090594
39,"('6080', '6208')",19.23536,0.6553438294660503,808.5587579989816,16.340554776021254,18.074833428126485,6.033297904866427
40,"('6080', '6222')",52.731453,2.0603399020976707,2840.285944598986,57.40071157245625,56.82559118025088,7.764129276412845
41,"('6080', '6257')",19.198965,0.6665667500696064,883.7377695156462,17.85988375927956,18.384369295202003,4.2429146821091575
42,"('6080', '6274')",42.575931,1.3724534577068777,1633.6239940595892,33.014696945978734,37.85321005634517,11.092466641903446
43,"('6080', '6280')",25.132921,1.1047786064916103,1449.7289556795065,29.298273225425753,30.47055360781118,21.237613438609785
44,"('6080', '6287')",36.162642,1.0244748649102855,1190.9903753409535,24.069300188073004,28.25572119850877,21.86488697781326
45,"('6080', '6373')",18.877826,0.6665667500696064,895.6073348337427,18.099761542222527,18.384369295202003,2.613948792609891
46,"('6080', '6379')",49.293,1.5422654224757235,2322.173244550337,46.929921575388555,42.536740806608805,13.706325834076228
47,"('6080', '6388')",38.116792,1.8137661544024937,2116.1151724872466,42.76559439411955,50.02491767582431,31.241153966536107
48,"('6080', '6389')",30.995344,1.2804870235634345,1839.7406066130454,37.18020720031444,35.31671256696488,13.941992600452771
49,"('6080', '6418')",28.513897,1.176490763336554,1604.336923930421,32.42282038915409,32.4484242025494,13.79863019968613
50,"('6080', '6428')",45.539926,1.6812105264792323,2390.2684694177833,48.30609089014031,46.368942313050596,1.8204164693868727
51,"('6080', '6557')",45.235675,1.876869187577328,2198.5921287080287,44.43241106953412,51.76534272014642,14.43477458918524
52,"('6080', '6574')",43.598124,1.8137661544024937,2611.810055362875,52.78333188776605,50.02491767582431,14.740986735631822
53,"('6080', '6613')",23.09628,0.6317511062636301,788.7413084506278,15.940054358874919,17.42412989995398,24.55871724817166
54,"('6557', '6066')",28.761428,0.7793205568287075,1122.6469943477825,22.68811576622446,21.494196814625518,25.267282227344488
55,"('6557', '6080')",45.235675,1.876869187577328,2198.5921287080287,44.43241106953412,51.76534272014642,14.43477458918524
56,"('6557', '6101')",56.909294,2.4068015882537974,3058.8882789634777,61.81855181413425,66.3812427099251,16.643939933475718
57,"('6557', '6208')",62.257272,2.415220213969766,3007.0594357867194,60.77111766970229,66.61343419578048,6.997033528517736
58,"('6557', '6222')",14.680946,0.257672055062002,642.3839568562847,12.982247895286065,7.106772452749546,51.59186299881803
59,"('6557', '6257')",50.489048,1.1706007985858389,1401.865083216922,28.330969090717037,32.285974924811555,36.05350822853393
60,"('6557', '6274')",56.507234,2.8438478860056664,3394.6614585229913,68.60435430360276,78.43528011297909,38.805732577494574
61,"('6557', '6280')",14.15504,0.7331003990930379,751.9171614137844,15.195857371602216,20.21941308350436,42.84250050515124
62,"('6557', '6287')",32.146764,1.4379645741406708,1503.3912533103617,30.38276053716327,39.660051692736516,23.371832053566948
63,"('6557', '6373')",25.493274,1.1706007985858389,1380.9477141519787,27.908239868388353,32.285974924811555,26.645070871679938
64,"('6557', '6379')",24.424948,0.5515391118825819,773.8054992707666,15.638209371589493,15.211827941520156,37.720121485948894
65,"('6557', '6388')",23.209539,0.07381663406034145,289.8485950419297,5.857690362240093,2.0359135233679013,91.22811735567905
66,"('6557', '6389')",18.113769,0.6186743173614165,361.2024385203994,7.299714675630871,17.06346307049003,5.7983842540443735
67,"('6557', '6418')",27.969537,0.6628418410016608,687.8920392617229,13.901942730004171,18.28163374187744,34.63733868073168
68,"('6557', '6428')",21.972755,0.21494204897127966,589.7284362754075,11.918107027600575,5.928249503808516,73.01999906789788
69,"('6557', '6557')",0.03952,0.0,0.0,0.0,0.0,100.0
70,"('6557', '6574')",10.933632,0.07381663406034145,462.4537563561336,9.345951499944926,2.0359135233679013,81.37934838699618
71,"('6557', '6613')",77.060488,1.2442616559715538,1410.8872232732592,28.513301880176105,34.317592020381916,55.46668219855822
72,"('6373', '6066')",31.2868,0.6592257770050826,1083.8768050121112,21.904590269470084,18.18190021046256,41.8863539561011
73,"('6373', '6080')",18.877826,0.6665667500696064,895.6073348337427,18.099761542222527,18.384369295202003,2.613948792609891
